Simple_Name,PC1,PC2,PC3,min_dist_to_lit
84-p-o-10,4.42271613304557,6.1161908932402165,0.653338826079881,2.3550507755107137
246-c-n-8,2.3064960994592267,2.281243725735216,0.0687240862152369,4.023331835774074
410-p-p-30,6.673715223560955,-0.34863210918049187,0.9001924980109661,5.377478866730229
260-c-o-10,6.619349431455502,3.678514747374265,-5.780787780977802,6.090642276536196
279-p-o-86,-1.257853340053097,3.2378380928541985,-3.8551960513373764,7.055811031593705
90-p-o-16,-1.5189523467547512,3.927228085080299,6.406413033054629,7.106253914640917
407-p-o-138,-1.9829910820214338,1.0502618006362245,2.504818703380368,7.4837233380784856
408-p-o-139,-1.8808935758408747,0.31550558317242455,2.4381705772052857,7.73504144324896
242-n-o-79,10.348303515458001,-0.035556385357245535,-0.892464122295714,7.924890901823872
350-p-o-129,-2.426092083071327,0.2591786031574372,1.9704208359534912,8.29027825156517
266-p-o-75,-3.6003308105817164,7.394240742400395,3.9147113767219426,8.639590198677288
100-p-o-26,-4.491053809988755,7.601914551602585,-0.16069724326116722,8.674777521878728
244-p-o-64,-2.3614125299838125,0.9027483081274823,-1.0995989979797747,8.688333251322112
96-p-o-22,-2.8791454986058427,-0.4708409520529396,0.3087697209149269,9.337195448375244
243-p-o-63,-2.0235920088831234,0.46714429929042256,-2.803332948232568,9.425106622327883
269-p-o-78,-0.3990774547994681,-2.9631961812314644,-0.29244467056777307,9.459047398401264
85-p-o-11,-2.690968105302945,-1.8613321553128142,3.2155664159831527,9.605518803439884
281-p-o-88,-0.8456626846153823,-3.5734447206442073,2.2886781343787774,9.60899111350446
86-p-o-12,-2.5072948125257786,-2.4262210635105994,3.6462635350884356,9.844331215116373
349-p-o-128,-2.766455462073181,-2.1963372970087693,1.408599696723989,10.02904173987593
97-p-o-23,-2.570897850026754,-2.6230149672021086,3.8058333770545323,10.032813568672768
294-p-o-106,-2.9512967672762227,0.6822099715851613,-3.4269782784955867,10.054017795605377
88-p-o-14,-2.626726278623152,-2.687582995657347,3.279742289668895,10.0970899933552
183-n-o-34,1.6798014090204714,-1.6748514971113078,-5.099613948481507,10.168329864518064
268-p-o-77,-1.44770818957249,-1.191057224251989,-3.6477764153870647,10.344327815784185
248-c-o-4,1.3481972017425912,-4.060182185369008,-2.3654323350886677,10.367448096489252
272-p-o-81,-3.2123489210174343,-1.742235395963702,-0.19772820730735363,10.441192196147325
99-p-o-25,-3.2911714387557303,-2.478271905565903,1.589816991941181,10.576150562195798
186-p-o-53,-4.3108461433525305,1.4195059927800755,-4.6870542908361745,10.603518995413095
92-p-o-18,-3.881170790158129,0.5340714408366356,-2.6991678691948358,10.761356114665729
255-p-o-70,-4.34194818094126,0.9396339068517793,-3.8392357649900317,10.856226260494365
312-p-o-121,-4.383826633117478,0.9264635894317529,-3.8576879152212387,10.89706489091471
310-p-o-119,-4.418503930794505,0.7297471149149655,-3.733454264567006,11.048753279013921
245-p-o-65,-1.5119676098765584,-4.960930887802985,2.671223724813363,11.097708298907765
267-p-o-76,-2.7603004129341464,-1.6579089989114004,-3.1924978790247858,11.192064463196786
87-p-o-13,-3.1014265853574496,-3.8376035949860334,2.7858779249673598,11.243131472395456
305-p-o-117,-3.9745473735554984,-3.002276812936459,2.9519287900936595,11.322660628381824
270-p-o-79,-1.4562448965338612,-5.681642081011981,1.162791653514392,11.825768621090887
339-n-n-47,11.048380048096535,-5.231762337683044,-0.4039958526460768,11.829560737474562
309-n-n-27,10.621953014974261,-5.421139692899428,-1.361280855550372,12.087296161519797
315-n-n-29,10.2174059824679,-6.402686056445607,-0.6353118699233317,12.461723669240312
252-p-o-67,-5.028532864170454,-2.8449677243671347,-3.2617239104414795,13.464270333819426
