Filename,Ni_atom_label,Ligand_atom_1_label,Ligand_atom_2_label,Atoms_distance_2,Atoms_distance_3,Atoms_distance_4,Atoms_distance_2_a,Atoms_distance_3_a,Atoms_distance_4_a,Atoms_distance_2_b,Atoms_distance_3_b,Atoms_distance_4_b,Atoms_to_exclude
ligand-521-n-o-81-int1,16,8,10,"[2, 3, 9]","[1, 3, 4, 6, 9, 11]","[4, 5, 7, 8, 10, 11, 25]","[2, 3]","[1, 4, 6, 9]","[5, 7, 10, 11, 25]",[9],"[3, 11]","[4, 8]","[12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
ligand-522-n-o-82-int1,15,8,10,"[2, 3, 9]","[1, 3, 4, 6, 9, 11]","[4, 5, 7, 8, 10, 11, 25]","[2, 3]","[1, 4, 6, 9]","[5, 7, 10, 11, 25]",[9],"[3, 11]","[4, 8]","[12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
ligand-523-n-o-83-int1,24,11,16,"[1, 2, 15]","[3, 4, 5, 6, 12, 20]","[2, 7, 8, 9, 10, 13, 15, 18, 19, 21, 22, 23]","[1, 2]","[3, 4, 5, 6, 12]","[7, 8, 9, 10, 13, 15, 18, 19]",[15],"[12, 20]","[2, 13, 21, 22, 23]","[17, 18, 19, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
ligand-524-n-o-84-int1,20,11,16,"[1, 2, 15]","[3, 4, 5, 6, 12, 30]","[2, 7, 8, 9, 10, 13, 15, 18, 19, 31, 32]","[1, 2]","[3, 4, 5, 6, 12]","[7, 8, 9, 10, 13, 15, 18, 19]",[15],"[12, 30]","[2, 13, 31, 32]","[17, 18, 19, 21, 22, 23, 28, 24, 25, 26, 27, 29]"
ligand-525-n-o-85-int1,20,11,16,"[1, 2, 15]","[3, 4, 5, 6, 12, 30]","[2, 7, 8, 9, 10, 13, 15, 18, 19, 31, 32]","[1, 2]","[3, 4, 5, 6, 12]","[7, 8, 9, 10, 13, 15, 18, 19]",[15],"[12, 30]","[2, 13, 31, 32]","[17, 18, 19, 21, 22, 23, 28, 24, 25, 26, 27, 29]"
ligand-526-n-o-86-int1,20,11,16,"[1, 2, 15]","[3, 4, 5, 6, 12, 30]","[2, 7, 8, 9, 10, 13, 15, 18, 19, 31, 32, 33]","[1, 2]","[3, 4, 5, 6, 12]","[7, 8, 9, 10, 13, 15, 18, 19]",[15],"[12, 30]","[2, 13, 31, 32, 33]","[17, 18, 19, 21, 22, 23, 28, 24, 25, 26, 27, 29]"
ligand-527-n-o-87-int1,20,11,16,"[1, 2, 15]","[3, 4, 5, 6, 12, 30]","[2, 7, 8, 9, 10, 13, 15, 18, 19, 31, 32, 33]","[1, 2]","[3, 4, 5, 6, 12]","[7, 8, 9, 10, 13, 15, 18, 19]",[15],"[12, 30]","[2, 13, 31, 32, 33]","[17, 18, 19, 21, 22, 23, 28, 24, 25, 26, 27, 29]"
ligand-528-p-o-179-int1,58,1,2,"[3, 4, 40, 50]","[3, 4, 5, 21, 27, 39, 41, 45, 49]","[1, 2, 5, 6, 10, 16, 20, 21, 27, 28, 29, 38, 42, 46, 48, 53, 54, 74, 75]","[4, 40, 50]","[3, 27, 39, 41, 45, 49]","[2, 5, 21, 28, 29, 38, 42, 46, 48, 53, 54, 74, 75]",[3],"[4, 5, 21]","[1, 6, 10, 16, 20, 27]","[55, 56, 57, 59, 60, 61, 62, 63, 64, 65, 66, 67]"
ligand-529-p-o-180-int1,69,1,2,"[3, 4, 40, 50]","[3, 4, 5, 21, 27, 39, 41, 45, 49]","[1, 2, 5, 6, 10, 16, 20, 21, 27, 28, 29, 38, 42, 46, 48, 53, 54, 58, 63]","[4, 40, 50]","[3, 27, 39, 41, 45, 49]","[2, 5, 21, 28, 29, 38, 42, 46, 48, 53, 54, 58, 63]",[3],"[4, 5, 21]","[1, 6, 10, 16, 20, 27]","[55, 56, 57, 70, 71, 72, 73, 74, 75, 76, 77, 78]"
ligand-53-p-c-18-int1,54,14,40,"[2, 15, 26, 41, 42]","[1, 3, 16, 17, 27, 28, 36, 37, 43]","[2, 4, 6, 13, 18, 19, 20, 21, 29, 30, 31, 38, 39, 41, 44, 45]","[2, 15, 26]","[1, 3, 16, 17, 27, 28]","[4, 6, 13, 18, 19, 20, 21, 29, 30, 31, 41]","[41, 42]","[1, 36, 37, 43]","[2, 6, 38, 39, 44, 45]","[10, 11, 12, 55, 56, 57, 62, 63, 58, 59, 60, 61]"
ligand-530-p-o-181-int1,67,1,2,"[3, 4, 40, 50]","[3, 4, 5, 21, 27, 39, 41, 45, 49]","[1, 2, 5, 6, 10, 16, 20, 21, 27, 28, 29, 38, 42, 46, 48, 53, 54, 79, 80]","[4, 40, 50]","[3, 27, 39, 41, 45, 49]","[2, 5, 21, 28, 29, 38, 42, 46, 48, 53, 54, 79, 80]",[3],"[4, 5, 21]","[1, 6, 10, 16, 20, 27]","[55, 56, 57, 68, 69, 70, 71, 72, 73, 74, 75, 76]"
ligand-531-p-o-182-int1,69,1,2,"[3, 4, 40, 50]","[3, 4, 5, 21, 27, 39, 41, 45, 49]","[1, 2, 5, 6, 10, 16, 20, 21, 27, 28, 29, 38, 42, 46, 48, 53, 54, 58, 63]","[4, 40, 50]","[3, 27, 39, 41, 45, 49]","[2, 5, 21, 28, 29, 38, 42, 46, 48, 53, 54, 58, 63]",[3],"[4, 5, 21]","[1, 6, 10, 16, 20, 27]","[55, 56, 57, 70, 71, 72, 73, 74, 75, 76, 77, 78]"
ligand-532-p-o-183-int1,77,1,2,"[3, 4, 40, 50]","[3, 4, 5, 21, 27, 39, 41, 45, 49]","[1, 2, 5, 6, 10, 16, 20, 21, 27, 28, 29, 38, 42, 46, 48, 53, 54, 58, 64]","[4, 40, 50]","[3, 27, 39, 41, 45, 49]","[2, 5, 21, 28, 29, 38, 42, 46, 48, 53, 54, 58, 64]",[3],"[4, 5, 21]","[1, 6, 10, 16, 20, 27]","[55, 56, 57, 78, 79, 80, 81, 82, 83, 84, 85, 86]"
ligand-55-p-c-20-int1,73,14,40,"[2, 15, 26, 41, 42]","[1, 3, 16, 17, 27, 28, 36, 37, 43]","[2, 4, 6, 13, 18, 19, 20, 21, 29, 30, 31, 38, 39, 41, 44, 45, 72]","[2, 15, 26]","[1, 3, 16, 17, 27, 28]","[4, 6, 13, 18, 19, 20, 21, 29, 30, 31, 41, 72]","[41, 42]","[1, 36, 37, 43]","[2, 6, 38, 39, 44, 45]","[10, 11, 12, 74, 75, 76, 77, 78, 79, 80, 81, 82]"
ligand-57-p-c-22-int1,90,46,18,"[20, 21, 44, 47, 55]","[1, 2, 17, 19, 22, 45, 48, 49, 56, 57]","[1, 2, 3, 6, 8, 9, 23, 24, 28, 32, 33, 50, 51, 58, 59, 66, 70, 78, 79, 82]","[44, 47, 55]","[2, 45, 48, 49, 56, 57]","[1, 3, 8, 50, 51, 58, 59, 66, 70, 78, 79, 82]","[20, 21]","[1, 17, 19, 22]","[2, 6, 9, 23, 24, 28, 32, 33]","[63, 64, 65, 91, 92, 93, 98, 99, 94, 95, 96, 97]"
ligand-58-p-c-23-int1,86,38,18,"[20, 21, 36, 39, 50]","[1, 2, 17, 19, 22, 37, 40, 41, 51, 52]","[1, 2, 3, 6, 8, 9, 23, 24, 25, 42, 43, 44, 45, 53, 54, 55, 56, 64, 75]","[36, 39, 50]","[2, 37, 40, 41, 51, 52]","[1, 3, 8, 42, 43, 44, 45, 53, 54, 55, 56]","[20, 21]","[1, 17, 19, 22]","[2, 6, 9, 23, 24, 25, 64, 75]","[61, 62, 63, 87, 88, 89, 94, 90, 91, 92, 93, 95]"
ligand-59-p-c-24-int1,113,38,18,"[20, 21, 36, 39, 47]","[1, 2, 17, 19, 22, 37, 40, 41, 48, 49]","[1, 2, 3, 6, 8, 9, 23, 24, 25, 42, 43, 50, 51, 58, 62, 70, 74, 82, 93]","[36, 39, 47]","[2, 37, 40, 41, 48, 49]","[1, 3, 8, 42, 43, 50, 51, 58, 62, 70, 74]","[20, 21]","[1, 17, 19, 22]","[2, 6, 9, 23, 24, 25, 82, 93]","[55, 56, 57, 104, 105, 106, 111, 112, 107, 108, 109, 110]"
ligand-90-p-o-16-int1,58,1,2,"[3, 4, 40, 50]","[3, 4, 5, 21, 27, 39, 41, 45, 49]","[1, 2, 5, 6, 10, 16, 20, 21, 27, 28, 29, 38, 42, 46, 48, 53, 54, 70, 71]","[4, 40, 50]","[3, 27, 39, 41, 45, 49]","[2, 5, 21, 28, 29, 38, 42, 46, 48, 53, 54, 70, 71]",[3],"[4, 5, 21]","[1, 6, 10, 16, 20, 27]","[55, 56, 57, 59, 60, 61, 62, 63, 64, 65, 66, 67]"
ligand-91-p-o-17-int1,75,6,1,"[4, 5, 7, 11, 40, 50]","[3, 8, 10, 12, 27, 39, 41, 45, 49]","[2, 4, 5, 9, 13, 15, 21, 28, 29, 38, 42, 46, 48, 53, 54, 70, 71]","[5, 7, 11]","[3, 8, 10, 12]","[2, 4, 9, 13, 15, 21]","[4, 40, 50]","[3, 27, 39, 41, 45, 49]","[2, 5, 21, 28, 29, 38, 42, 46, 48, 53, 54, 70, 71]","[55, 56, 57, 59, 60, 61, 62, 63, 64, 65, 66, 67]"
