Filename,Ni_atom_label,Ligand_atom_1_label,Ligand_atom_2_label,Atoms_distance_2,Atoms_distance_3,Atoms_distance_4,Atoms_distance_2_a,Atoms_distance_3_a,Atoms_distance_4_a,Atoms_distance_2_b,Atoms_distance_3_b,Atoms_distance_4_b,Atoms_to_exclude
ligand-187-p-o-54-int1,19,1,5,"[2, 4, 29, 46]","[3, 6, 7, 11, 30, 31, 32, 47, 48, 49]","[2, 4, 8, 10, 15, 33, 34, 35, 36, 37, 38, 50, 51, 52, 53, 54, 55]","[2, 29, 46]","[3, 11, 30, 31, 32, 47, 48, 49]","[4, 8, 10, 15, 33, 34, 35, 36, 37, 38, 50, 51, 52, 53, 54, 55]",[4],"[3, 6, 7]","[2, 8]","[16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28]"
ligand-19-p-c-6-int1,75,5,49,"[1, 14, 31, 53, 54]","[6, 7, 8, 10, 15, 16, 17, 32, 33, 34, 48, 51, 55]","[8, 9, 10, 11, 12, 13, 18, 19, 20, 21, 22, 23, 35, 36, 37, 38, 39, 40, 50, 52, 56, 57, 58]","[1, 14, 31]","[6, 7, 8, 15, 16, 17, 32, 33, 34]","[9, 10, 13, 18, 19, 20, 21, 22, 23, 35, 36, 37, 38, 39, 40]","[53, 54]","[10, 48, 51, 55]","[8, 11, 12, 50, 52, 56, 57, 58]","[2, 3, 4, 76, 77, 78, 83, 79, 81, 82, 80, 84]"
ligand-2-p-p-1-int1,56,10,11,"[1, 7, 12, 23, 34, 45]","[1, 5, 6, 7, 8, 9, 13, 14, 24, 25, 35, 36, 46, 47]","[5, 6, 8, 9, 10, 11, 15, 16, 17, 18, 26, 27, 28, 29, 37, 38, 39, 40, 48, 49, 50, 51]","[1, 12, 23]","[5, 6, 7, 13, 14, 24, 25]","[8, 9, 11, 15, 16, 17, 18, 26, 27, 28, 29]","[7, 34, 45]","[1, 8, 9, 35, 36, 46, 47]","[5, 6, 10, 37, 38, 39, 40, 48, 49, 50, 51]","[2, 3, 4, 57, 58, 59, 64, 65, 60, 61, 62, 63]"
ligand-21-p-c-8-int1,69,5,49,"[1, 14, 31, 53, 54]","[6, 7, 8, 10, 15, 16, 17, 32, 33, 34, 48, 51, 55]","[8, 9, 10, 11, 12, 13, 18, 19, 20, 21, 22, 23, 35, 36, 37, 38, 39, 40, 50, 52, 56, 57, 58]","[1, 14, 31]","[6, 7, 8, 15, 16, 17, 32, 33, 34]","[9, 10, 13, 18, 19, 20, 21, 22, 23, 35, 36, 37, 38, 39, 40]","[53, 54]","[10, 48, 51, 55]","[8, 11, 12, 50, 52, 56, 57, 58]","[2, 3, 4, 70, 71, 72, 77, 78, 73, 74, 75, 76]"
ligand-22-p-c-9-int1,73,5,49,"[1, 14, 31, 53, 54]","[6, 7, 8, 10, 15, 16, 17, 32, 33, 34, 48, 51, 55]","[8, 9, 10, 11, 12, 13, 18, 19, 20, 21, 22, 23, 35, 36, 37, 38, 39, 40, 50, 52, 56, 57, 58]","[1, 14, 31]","[6, 7, 8, 15, 16, 17, 32, 33, 34]","[9, 10, 13, 18, 19, 20, 21, 22, 23, 35, 36, 37, 38, 39, 40]","[53, 54]","[10, 48, 51, 55]","[8, 11, 12, 50, 52, 56, 57, 58]","[2, 3, 4, 74, 75, 76, 81, 82, 77, 78, 79, 80]"
ligand-251-p-o-66-int1,19,1,5,"[2, 4, 29, 35]","[3, 6, 7, 11, 30, 31, 36, 37, 41, 45]","[2, 4, 8, 10, 15, 32, 33, 34, 38, 39, 40, 42, 43, 44, 46, 47]","[2, 29, 35]","[3, 11, 30, 31, 36, 37, 41, 45]","[4, 8, 10, 15, 32, 33, 34, 38, 39, 40, 42, 43, 44, 46, 47]",[4],"[3, 6, 7]","[2, 8]","[16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28]"
ligand-252-p-o-67-int1,19,1,5,"[2, 4, 29, 34]","[3, 6, 7, 11, 30, 35, 39, 43, 47, 51]","[2, 4, 8, 10, 15, 31, 32, 33, 36, 37, 38, 40, 41, 42, 44, 45, 46, 48, 49, 50, 52, 53]","[2, 29, 34]","[3, 11, 30, 35, 39, 43, 47, 51]","[4, 8, 10, 15, 31, 32, 33, 36, 37, 38, 40, 41, 42, 44, 45, 46, 48, 49, 50, 52, 53]",[4],"[3, 6, 7]","[2, 8]","[16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28]"
ligand-3-p-p-2-int1,59,6,1,"[2, 11, 15, 26, 37, 48]","[7, 8, 9, 12, 13, 16, 17, 27, 28, 38, 39, 49, 50]","[2, 10, 11, 14, 18, 19, 20, 21, 29, 30, 31, 32, 40, 41, 42, 43, 51, 52, 53, 54]","[2, 15, 26]","[7, 8, 9, 16, 17, 27, 28]","[10, 11, 14, 18, 19, 20, 21, 29, 30, 31, 32]","[11, 37, 48]","[9, 12, 13, 38, 39, 49, 50]","[2, 10, 14, 40, 41, 42, 43, 51, 52, 53, 54]","[3, 4, 5, 60, 61, 62, 67, 68, 63, 64, 66, 65]"
ligand-31-p-p-10-int1,52,6,1,"[2, 9, 11, 13, 22, 49]","[2, 7, 8, 10, 12, 14, 18, 23, 27, 31, 35, 39, 43, 47, 48, 49, 50, 51]","[1, 6, 7, 8, 15, 16, 17, 19, 20, 21, 24, 25, 26, 28, 29, 30, 32, 33, 34, 36, 37, 38, 40, 41, 42, 44, 45, 46, 50, 51]","[2, 9, 11]","[7, 8, 10, 12, 31, 35, 39, 43, 49]","[1, 32, 33, 34, 36, 37, 38, 40, 41, 42, 44, 45, 46, 50, 51]","[13, 22, 49]","[2, 14, 18, 23, 27, 47, 48, 50, 51]","[6, 7, 8, 15, 16, 17, 19, 20, 21, 24, 25, 26, 28, 29, 30]","[3, 4, 5, 53, 54, 55, 60, 61, 56, 57, 58, 59]"
ligand-32-p-p-11-int1,55,6,1,"[2, 9, 11, 13, 22, 51]","[7, 8, 10, 12, 14, 18, 23, 27, 31, 35, 39, 43, 47, 48, 49, 52, 53]","[2, 15, 16, 17, 19, 20, 21, 24, 25, 26, 28, 29, 30, 32, 33, 34, 36, 37, 38, 40, 41, 42, 44, 45, 46, 50, 51, 54]","[2, 9, 11]","[7, 8, 10, 12, 31, 35, 39, 43, 49]","[32, 33, 34, 36, 37, 38, 40, 41, 42, 44, 45, 46, 50, 51, 54]","[13, 22, 51]","[14, 18, 23, 27, 47, 48, 49, 52, 53]","[2, 15, 16, 17, 19, 20, 21, 24, 25, 26, 28, 29, 30, 50, 54]","[3, 4, 5, 56, 57, 58, 63, 64, 59, 60, 61, 62]"
ligand-35-p-p-14-int1,62,14,10,"[4, 6, 7, 11, 16, 29]","[4, 5, 6, 8, 9, 12, 13, 15, 17, 21, 25, 30, 34, 38, 42, 44, 52, 53]","[5, 10, 14, 15, 18, 19, 20, 22, 23, 24, 26, 27, 28, 31, 32, 33, 35, 36, 37, 39, 40, 41, 42, 43, 47, 52, 54, 55]","[4, 11, 29]","[5, 6, 12, 13, 30, 34, 38, 52, 53]","[10, 15, 31, 32, 33, 35, 36, 37, 39, 40, 41, 42, 54, 55]","[6, 7, 16]","[4, 8, 9, 15, 17, 21, 25, 42, 44]","[5, 14, 18, 19, 20, 22, 23, 24, 26, 27, 28, 43, 47, 52]","[1, 2, 3, 63, 64, 65, 66, 67, 68, 69, 70, 71]"
ligand-38-p-o-2-int1,39,1,5,"[2, 4, 19, 29]","[3, 6, 7, 11, 20, 21, 30, 31]","[2, 4, 8, 10, 15, 22, 23, 24, 32, 33, 34, 49, 50]","[2, 19, 29]","[3, 11, 20, 21, 30, 31]","[4, 8, 10, 15, 22, 23, 24, 32, 33, 34, 49, 50]",[4],"[3, 6, 7]","[2, 8]","[16, 17, 18, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
ligand-409-p-o-140-int1,85,1,5,"[2, 4, 8, 9]","[3, 6, 7, 13, 16, 20, 25, 29]","[2, 4, 10, 12, 15, 17, 19, 21, 26, 28, 33, 37, 38]","[2, 8, 9]","[3, 13, 16, 20, 25, 29]","[4, 10, 12, 15, 17, 19, 21, 26, 28, 33, 37, 38]",[4],"[3, 6, 7]","[2, 10]","[34, 35, 36, 86, 87, 88, 93, 94, 89, 90, 91, 92]"
ligand-41-p-o-5-int1,59,1,5,"[2, 4, 19, 30]","[3, 6, 7, 11, 20, 21, 31, 32]","[2, 4, 8, 10, 15, 22, 23, 24, 25, 33, 34, 35, 40]","[2, 19, 30]","[3, 11, 20, 21, 31, 32]","[4, 8, 10, 15, 22, 23, 24, 25, 33, 34, 35, 40]",[4],"[3, 6, 7]","[2, 8]","[16, 17, 18, 60, 61, 62, 67, 68, 63, 64, 65, 66]"
ligand-42-p-p-16-int1,72,11,10,"[1, 7, 12, 22, 32, 42]","[1, 5, 6, 7, 8, 9, 13, 14, 23, 24, 33, 34, 43, 44]","[5, 6, 8, 9, 10, 11, 15, 16, 17, 25, 26, 27, 35, 36, 37, 45, 46, 47, 52, 53, 54, 55]","[7, 32, 42]","[1, 8, 9, 33, 34, 43, 44]","[5, 6, 10, 35, 36, 37, 45, 46, 47, 54, 55]","[1, 12, 22]","[5, 6, 7, 13, 14, 23, 24]","[8, 9, 11, 15, 16, 17, 25, 26, 27, 52, 53]","[2, 3, 4, 73, 74, 75, 80, 81, 76, 77, 78, 79]"
ligand-43-p-p-17-int1,75,6,1,"[2, 11, 15, 25, 35, 45]","[7, 8, 9, 12, 13, 16, 17, 26, 27, 36, 37, 46, 47]","[2, 10, 11, 14, 18, 19, 20, 28, 29, 30, 38, 39, 40, 48, 49, 50, 55, 56, 65, 66]","[2, 35, 45]","[7, 8, 9, 36, 37, 46, 47]","[10, 11, 14, 38, 39, 40, 48, 49, 50, 65, 66]","[11, 15, 25]","[9, 12, 13, 16, 17, 26, 27]","[2, 10, 14, 18, 19, 20, 28, 29, 30, 55, 56]","[3, 4, 5, 76, 77, 78, 82, 83, 84, 79, 80, 81]"
ligand-431-p-c-29-int1,66,31,8,"[9, 10, 20, 32, 43]","[4, 5, 9, 11, 20, 21, 22, 33, 34, 44, 45]","[4, 6, 7, 8, 12, 13, 21, 22, 31, 35, 36, 37, 38, 46, 47, 48, 49]","[20, 32, 43]","[9, 21, 22, 33, 34, 44, 45]","[4, 8, 35, 36, 37, 38, 46, 47, 48, 49]","[9, 10]","[4, 5, 11, 20]","[6, 7, 12, 13, 21, 22, 31]","[1, 2, 3, 67, 68, 69, 70, 71, 72, 73, 74, 75]"
ligand-432-p-c-30-int1,76,14,40,"[2, 15, 26, 41, 42]","[1, 3, 16, 17, 27, 28, 36, 37, 43, 52]","[1, 4, 6, 13, 18, 19, 20, 21, 29, 30, 31, 38, 39, 44, 45, 52, 53, 54, 75]","[2, 15, 26]","[1, 3, 16, 17, 27, 28]","[4, 6, 13, 18, 19, 20, 21, 29, 30, 31, 52, 75]","[41, 42]","[36, 37, 43, 52]","[1, 38, 39, 44, 45, 53, 54]","[10, 11, 12, 77, 78, 79, 84, 85, 86, 81, 82, 83]"
ligand-44-p-p-18-int1,86,1,6,"[2, 15, 18, 35, 52, 69]","[7, 8, 9, 11, 16, 17, 19, 20, 21, 36, 37, 38, 53, 54, 55, 70, 71, 72]","[9, 10, 11, 12, 13, 14, 22, 23, 24, 25, 26, 27, 39, 40, 41, 42, 43, 44, 56, 57, 58, 59, 60, 61, 73, 74, 75, 76, 77, 78]","[15, 52, 69]","[11, 16, 17, 53, 54, 55, 70, 71, 72]","[9, 12, 13, 56, 57, 58, 59, 60, 61, 73, 74, 75, 76, 77, 78]","[2, 18, 35]","[7, 8, 9, 19, 20, 21, 36, 37, 38]","[10, 11, 14, 22, 23, 24, 25, 26, 27, 39, 40, 41, 42, 43, 44]","[3, 4, 5, 87, 88, 89, 94, 95, 90, 91, 92, 93]"
ligand-464-p-o-161-int1,58,1,2,"[3, 4, 40, 50]","[3, 4, 5, 21, 27, 39, 41, 45, 49]","[1, 2, 5, 6, 10, 16, 20, 21, 27, 28, 29, 38, 42, 46, 48, 53, 54, 70, 71]","[4, 40, 50]","[3, 27, 39, 41, 45, 49]","[2, 5, 21, 28, 29, 38, 42, 46, 48, 53, 54, 70, 71]",[3],"[4, 5, 21]","[1, 6, 10, 16, 20, 27]","[55, 56, 57, 59, 60, 61, 62, 63, 64, 65, 66, 67]"
ligand-466-p-o-163-int1,65,1,2,"[3, 4, 40, 50]","[3, 4, 5, 21, 27, 39, 41, 45, 49]","[1, 2, 5, 6, 10, 16, 20, 21, 27, 28, 29, 38, 42, 46, 48, 77, 78, 87]","[4, 40, 50]","[3, 27, 39, 41, 45, 49]","[2, 5, 21, 28, 29, 38, 42, 46, 48, 77, 78, 87]",[3],"[4, 5, 21]","[1, 6, 10, 16, 20, 27]","[53, 54, 55, 66, 67, 68, 69, 70, 71, 72, 73, 74]"
ligand-467-p-o-164-int1,65,1,2,"[3, 4, 40, 50]","[3, 4, 5, 21, 27, 39, 41, 45, 49]","[1, 2, 5, 6, 10, 16, 20, 21, 27, 28, 29, 38, 42, 46, 48, 77, 78, 79, 80]","[4, 40, 50]","[3, 27, 39, 41, 45, 49]","[2, 5, 21, 28, 29, 38, 42, 46, 48, 77, 78, 79, 80]",[3],"[4, 5, 21]","[1, 6, 10, 16, 20, 27]","[53, 54, 55, 66, 67, 68, 69, 70, 71, 72, 73, 74]"
ligand-47-p-p-21-int1,75,6,1,"[2, 11, 15, 24, 33, 42]","[7, 8, 9, 12, 13, 16, 17, 25, 26, 34, 35, 43, 44]","[2, 10, 11, 14, 18, 19, 20, 27, 28, 29, 36, 37, 38, 45, 46, 47, 51, 52, 53, 54]","[2, 33, 42]","[7, 8, 9, 34, 35, 43, 44]","[10, 11, 14, 36, 37, 38, 45, 46, 47, 53, 54]","[11, 15, 24]","[9, 12, 13, 16, 17, 25, 26]","[2, 10, 14, 18, 19, 20, 27, 28, 29, 51, 52]","[3, 4, 5, 76, 77, 78, 83, 84, 79, 80, 81, 82]"
ligand-473-p-o-170-int1,47,1,5,"[2, 4, 19, 36]","[3, 6, 7, 11, 20, 21, 22, 37, 38]","[2, 4, 8, 10, 15, 23, 24, 25, 26, 27, 28, 39, 40, 41, 42]","[2, 19, 36]","[3, 11, 20, 21, 22, 37, 38]","[4, 8, 10, 15, 23, 24, 25, 26, 27, 28, 39, 40, 41, 42]",[4],"[3, 6, 7]","[2, 8]","[16, 17, 18, 48, 49, 50, 51, 52, 53, 54, 55, 56]"
ligand-474-p-c-32-int1,69,4,17,"[5, 18, 19, 42, 46]","[6, 7, 15, 18, 20, 38, 42, 43, 47, 48]","[4, 8, 9, 10, 16, 17, 21, 22, 37, 38, 39, 40, 43, 45, 49, 50, 51, 52]","[5, 42, 46]","[6, 7, 18, 43, 47, 48]","[8, 9, 10, 17, 37, 38, 40, 45, 49, 50, 51, 52]","[18, 19]","[15, 20, 38, 42]","[4, 16, 21, 22, 39, 43]","[1, 2, 3, 70, 71, 72, 73, 74, 75, 76, 77, 78]"
ligand-475-p-c-33-int1,109,4,17,"[5, 18, 19, 33, 37]","[6, 7, 15, 18, 20, 29, 33, 34, 38, 39]","[4, 8, 9, 10, 16, 17, 21, 22, 28, 29, 30, 31, 34, 36, 40, 41, 42, 43]","[5, 33, 37]","[6, 7, 18, 34, 38, 39]","[8, 9, 10, 17, 28, 29, 31, 36, 40, 41, 42, 43]","[18, 19]","[15, 20, 29, 33]","[4, 16, 21, 22, 30, 34]","[1, 2, 3, 100, 101, 102, 103, 104, 105, 106, 107, 108]"
ligand-476-p-p-31-int1,77,18,19,"[6, 10, 25, 64]","[3, 7, 11, 12, 26, 30, 34, 65, 69, 73]","[2, 4, 9, 13, 14, 15, 23, 24, 27, 28, 29, 31, 32, 33, 35, 36, 37, 66, 67, 68, 70, 71, 72, 74, 75, 76]","[6, 64]","[3, 7, 65, 69, 73]","[2, 4, 9, 24, 66, 67, 68, 70, 71, 72, 74, 75, 76]","[10, 25]","[11, 12, 26, 30, 34]","[13, 14, 15, 23, 27, 28, 29, 31, 32, 33, 35, 36, 37]","[20, 21, 22, 78, 79, 80, 81, 82, 83, 84, 85, 86]"
ligand-477-p-p-32-int1,25,18,19,"[6, 10, 35, 52, 69, 86]","[3, 7, 11, 12, 36, 37, 38, 53, 54, 55, 70, 71, 72, 87, 88, 89]","[2, 4, 9, 13, 14, 15, 23, 24, 39, 40, 41, 42, 43, 44, 56, 57, 58, 59, 60, 61, 73, 74, 75, 76, 77, 78, 90, 91, 92, 93, 94, 95]","[6, 69, 86]","[3, 7, 70, 71, 72, 87, 88, 89]","[2, 4, 9, 24, 73, 74, 75, 76, 77, 78, 90, 91, 92, 93, 94, 95]","[10, 35, 52]","[11, 12, 36, 37, 38, 53, 54, 55]","[13, 14, 15, 23, 39, 40, 41, 42, 43, 44, 56, 57, 58, 59, 60, 61]","[20, 21, 22, 26, 27, 28, 29, 30, 31, 32, 33, 34]"
ligand-478-p-p-33-int1,69,39,18,"[6, 10, 19, 29, 42, 53]","[3, 7, 11, 12, 20, 21, 30, 31, 43, 44, 54, 55]","[2, 4, 9, 13, 14, 15, 22, 23, 24, 32, 33, 34, 40, 41, 45, 46, 47, 48, 56, 57, 58, 59, 67, 68]","[10, 42, 53]","[11, 12, 43, 44, 54, 55]","[13, 14, 15, 45, 46, 47, 48, 56, 57, 58, 59, 67]","[6, 19, 29]","[3, 7, 20, 21, 30, 31]","[2, 4, 9, 22, 23, 24, 32, 33, 34, 40, 41, 68]","[64, 65, 66, 70, 71, 72, 73, 74, 75, 76, 77, 78]"
ligand-479-p-p-34-int1,82,1,36,"[2, 13, 24, 31, 37, 48]","[3, 4, 14, 15, 25, 26, 30, 32, 38, 39, 49, 50]","[5, 6, 7, 8, 16, 17, 18, 19, 25, 27, 28, 30, 33, 34, 40, 41, 42, 43, 51, 52, 53, 54, 64, 72]","[2, 13, 24]","[3, 4, 14, 15, 25, 26]","[5, 6, 7, 8, 16, 17, 18, 19, 27, 28, 30, 64]","[31, 37, 48]","[30, 32, 38, 39, 49, 50]","[25, 33, 34, 40, 41, 42, 43, 51, 52, 53, 54, 72]","[59, 60, 61, 83, 84, 85, 90, 91, 86, 87, 88, 89]"
ligand-48-p-p-22-int1,75,1,6,"[2, 11, 15, 23, 31, 39]","[7, 8, 9, 12, 13, 16, 17, 24, 25, 32, 33, 40, 41]","[2, 10, 11, 14, 18, 19, 20, 26, 27, 28, 34, 35, 36, 42, 43, 44, 47, 48, 49, 50]","[11, 15, 23]","[9, 12, 13, 16, 17, 24, 25]","[2, 10, 14, 18, 19, 20, 26, 27, 28, 47, 48]","[2, 31, 39]","[7, 8, 9, 32, 33, 40, 41]","[10, 11, 14, 34, 35, 36, 42, 43, 44, 49, 50]","[3, 4, 5, 76, 77, 78, 83, 84, 79, 80, 81, 82]"
ligand-480-p-p-35-int1,61,18,19,"[6, 10, 25, 52]","[3, 7, 11, 12, 26, 30, 53, 57, 73]","[2, 4, 9, 13, 14, 15, 23, 24, 27, 28, 29, 31, 32, 33, 54, 55, 56, 58, 59, 60]","[6, 52]","[3, 7, 53, 57]","[2, 4, 9, 24, 54, 55, 56, 58, 59, 60]","[10, 25]","[11, 12, 26, 30, 73]","[13, 14, 15, 23, 27, 28, 29, 31, 32, 33]","[20, 21, 22, 62, 63, 64, 65, 66, 67, 68, 69, 70]"
ligand-481-p-p-36-int1,78,51,11,"[2, 12, 23, 34, 52, 63]","[1, 3, 13, 14, 24, 25, 33, 36, 53, 54, 64, 65]","[4, 6, 10, 15, 16, 17, 18, 26, 27, 28, 32, 35, 38, 39, 55, 56, 57, 58, 66, 67, 68, 69, 74]","[34, 52, 63]","[33, 36, 53, 54, 64, 65]","[32, 35, 38, 39, 55, 56, 57, 58, 66, 67, 68, 69]","[2, 12, 23]","[1, 3, 13, 14, 24, 25]","[4, 6, 10, 15, 16, 17, 18, 26, 27, 28, 32, 74]","[75, 76, 77, 79, 80, 81, 82, 83, 84, 85, 86, 87]"
ligand-482-p-p-37-int1,60,15,1,"[2, 3, 16, 27, 38, 49]","[2, 3, 4, 7, 17, 18, 28, 29, 39, 40, 50, 51]","[1, 4, 5, 6, 7, 9, 14, 15, 19, 20, 21, 22, 30, 31, 32, 33, 41, 42, 43, 44, 52, 53, 54, 55]","[3, 38, 49]","[2, 4, 39, 40, 50, 51]","[1, 5, 7, 14, 41, 42, 43, 44, 52, 53, 54, 55]","[2, 16, 27]","[3, 7, 17, 18, 28, 29]","[4, 6, 9, 15, 19, 20, 21, 22, 30, 31, 32, 33]","[11, 12, 13, 61, 62, 63, 64, 65, 66, 67, 68, 69]"
ligand-486-p-p-41-int1,56,15,1,"[2, 3, 16, 29, 31, 35]","[2, 3, 4, 7, 17, 21, 25, 30, 32, 33, 34, 36, 40, 44, 48, 52]","[1, 4, 5, 6, 7, 9, 14, 15, 18, 19, 20, 22, 23, 24, 26, 27, 28, 37, 38, 39, 41, 42, 43, 45, 46, 47, 49, 50, 51, 53, 54, 55]","[3, 16, 29]","[2, 4, 17, 21, 25, 30, 48, 52]","[1, 5, 7, 14, 18, 19, 20, 22, 23, 24, 26, 27, 28, 49, 50, 51, 53, 54, 55]","[2, 31, 35]","[3, 7, 32, 33, 34, 36, 40, 44]","[4, 6, 9, 15, 37, 38, 39, 41, 42, 43, 45, 46, 47]","[11, 12, 13, 57, 58, 59, 64, 65, 60, 61, 62, 63]"
ligand-497-p-n-43-int1,70,1,7,"[5, 8, 18, 28, 40]","[5, 6, 9, 10, 19, 20, 28, 29, 41, 42]","[1, 6, 7, 11, 12, 13, 21, 22, 23, 29, 30, 31, 43, 44, 45, 46, 51, 52]","[8, 18, 28]","[5, 9, 10, 19, 20, 29]","[6, 7, 11, 12, 13, 21, 22, 23, 30, 31, 51, 52]","[5, 40]","[6, 28, 41, 42]","[1, 29, 43, 44, 45, 46]","[2, 3, 4, 61, 62, 63, 64, 65, 66, 67, 68, 69]"
ligand-498-p-n-44-int1,79,1,7,"[5, 8, 18, 28, 40]","[5, 6, 9, 10, 19, 20, 28, 29, 41, 42]","[1, 6, 7, 11, 12, 13, 21, 22, 23, 29, 30, 31, 43, 44, 49, 50, 59, 69]","[8, 18, 28]","[5, 9, 10, 19, 20, 29]","[6, 7, 11, 12, 13, 21, 22, 23, 30, 31, 49, 50]","[5, 40]","[6, 28, 41, 42]","[1, 29, 43, 44, 59, 69]","[2, 3, 4, 80, 81, 82, 83, 84, 85, 86, 87, 88]"
ligand-499-p-n-45-int1,57,1,7,"[5, 8, 17, 26, 38]","[5, 6, 9, 10, 18, 19, 26, 27, 39, 40]","[1, 6, 7, 11, 12, 20, 21, 27, 28, 29, 41, 42, 47, 48, 67, 68, 69, 70]","[8, 17, 26]","[5, 9, 10, 18, 19, 27]","[6, 7, 11, 12, 20, 21, 28, 29, 47, 48, 69, 70]","[5, 38]","[6, 26, 39, 40]","[1, 27, 41, 42, 67, 68]","[2, 3, 4, 58, 59, 60, 61, 62, 63, 64, 65, 66]"
ligand-500-p-o-171-int1,19,1,5,"[2, 4, 29, 40]","[3, 6, 7, 11, 30, 31, 41, 42]","[2, 4, 8, 10, 15, 32, 33, 34, 35, 43, 44, 45, 50]","[2, 29, 40]","[3, 11, 30, 31, 41, 42]","[4, 8, 10, 15, 32, 33, 34, 35, 43, 44, 45, 50]",[4],"[3, 6, 7]","[2, 8]","[16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28]"
ligand-501-p-o-172-int1,37,1,5,"[2, 4, 19, 28]","[3, 6, 7, 11, 20, 21, 29, 30]","[2, 4, 8, 10, 15, 22, 23, 31, 32, 47, 48, 57, 58]","[2, 19, 28]","[3, 11, 20, 21, 29, 30]","[4, 8, 10, 15, 22, 23, 31, 32, 47, 48, 57, 58]",[4],"[3, 6, 7]","[2, 8]","[16, 17, 18, 38, 39, 40, 41, 42, 43, 44, 45, 46]"
ligand-502-p-o-173-int1,19,1,5,"[2, 4, 29, 46]","[3, 6, 7, 11, 30, 31, 32, 47, 48]","[2, 4, 8, 10, 15, 33, 34, 35, 36, 37, 38, 49, 50, 51, 52]","[2, 29, 46]","[3, 11, 30, 31, 32, 47, 48]","[4, 8, 10, 15, 33, 34, 35, 36, 37, 38, 49, 50, 51, 52]",[4],"[3, 6, 7]","[2, 8]","[16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28]"
ligand-503-p-o-174-int1,38,1,5,"[2, 4, 19, 29]","[3, 6, 7, 11, 20, 21, 30, 31]","[2, 4, 8, 10, 15, 22, 23, 24, 25, 32, 33, 34, 48]","[2, 19, 29]","[3, 11, 20, 21, 30, 31]","[4, 8, 10, 15, 22, 23, 24, 25, 32, 33, 34, 48]",[4],"[3, 6, 7]","[2, 8]","[16, 17, 18, 39, 40, 41, 42, 43, 44, 45, 46, 47]"
ligand-504-p-o-175-int1,19,1,5,"[2, 4, 29, 36]","[3, 6, 7, 11, 30, 31, 32, 37, 38, 39]","[2, 4, 8, 10, 15, 33, 34, 35, 40, 41]","[2, 29, 36]","[3, 11, 30, 31, 32, 37, 38, 39]","[4, 8, 10, 15, 33, 34, 35, 40, 41]",[4],"[3, 6, 7]","[2, 8]","[16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28]"
ligand-508-p-p-43-int1,106,1,15,"[2, 3, 16, 26, 36, 56]","[2, 3, 4, 7, 17, 18, 27, 28, 37, 38, 57]","[1, 4, 5, 6, 7, 9, 14, 15, 19, 20, 21, 29, 30, 31, 39, 40, 41, 46, 47, 58, 67, 92]","[2, 16, 56]","[3, 7, 17, 18, 57]","[4, 6, 9, 15, 19, 20, 21, 58, 67, 92]","[3, 26, 36]","[2, 4, 27, 28, 37, 38]","[1, 5, 7, 14, 29, 30, 31, 39, 40, 41, 46, 47]","[11, 12, 13, 97, 98, 99, 100, 101, 102, 103, 104, 105]"
ligand-509-p-p-44-int1,100,1,15,"[2, 3, 16, 25, 35, 55]","[2, 3, 4, 7, 17, 18, 26, 27, 36, 37, 56]","[1, 4, 5, 6, 7, 9, 14, 15, 19, 20, 21, 28, 29, 30, 38, 39, 40, 45, 46, 57, 66, 101]","[2, 16, 55]","[3, 7, 17, 18, 56]","[4, 6, 9, 15, 19, 20, 21, 57, 66, 101]","[3, 25, 35]","[2, 4, 26, 27, 36, 37]","[1, 5, 7, 14, 28, 29, 30, 38, 39, 40, 45, 46]","[11, 12, 13, 91, 92, 93, 94, 95, 96, 97, 98, 99]"
ligand-510-p-p-45-int1,76,36,1,"[2, 13, 24, 31, 37, 48]","[3, 4, 14, 15, 25, 26, 30, 32, 34, 38, 39, 49, 50]","[5, 6, 7, 8, 16, 17, 18, 19, 25, 27, 28, 30, 33, 40, 41, 42, 43, 51, 52, 53, 54, 63, 64]","[31, 37, 48]","[30, 32, 34, 38, 39, 49, 50]","[19, 25, 33, 40, 41, 42, 43, 51, 52, 53, 54, 64]","[2, 13, 24]","[3, 4, 14, 15, 25, 26]","[5, 6, 7, 8, 16, 17, 18, 19, 27, 28, 30, 43, 63]","[59, 60, 61, 77, 78, 79, 80, 81, 82, 83, 84, 85]"
