Name,Metal,Atom_A,Atom_B,A-M-B Angle,M-A Distance,M-B Distance,Metal_NBO,A_NBO,B_NBO,HOMO_LUMO,A-B_NBO,NBO-dist-2-avg,NBO-dist-3-avg,NBO-dist-4-avg,NBO-dist-2-a-avg,NBO-dist-3-a-avg,NBO-dist-4-a-avg,NBO-dist-2-b-avg,NBO-dist-3-b-avg,NBO-dist-4-b-avg,NBO-dist-2-a-b-diff,NBO-dist-3-a-b-diff,NBO-dist-4-a-b-diff,NBO-dist-2-min,NBO-dist-3-min,NBO-dist-4-min,NBO-dist-2-max,NBO-dist-3-max,NBO-dist-4-max,NBO-dist-2-a-min,NBO-dist-3-a-min,NBO-dist-4-a-min,NBO-dist-2-b-min,NBO-dist-3-b-min,NBO-dist-4-b-min,NBO-dist-2-a-max,NBO-dist-3-a-max,NBO-dist-4-a-max,NBO-dist-2-b-max,NBO-dist-3-b-max,NBO-dist-4-b-max,NBO-metal-donor-diff,NBO-metal-a-diff,NBO-metal-b-diff,NBO-dist-2-1-avg-diff,NBO-dist-3-2-avg-diff,NBO-dist-4-3-avg-diff,NBO-dist-2-1-a-avg-diff,NBO-dist-3-2-a-avg-diff,NBO-dist-4-3-a-avg-diff,NBO-dist-2-1-b-avg-diff,NBO-dist-3-2-b-avg-diff,NBO-dist-4-3-b-avg-diff,Metal_mullkien,A_mulliken,B_mulliken,A-B_mulliken,Mulliken-dist-2-avg,Mulliken-dist-3-avg,Mulliken-dist-4-avg,Total % VBur,% VBur SE,% VBur SW,% VBur NE,% VBur NW,% VBur max,% VBur min,% VBur max min diff,% VBur NE NW diff,% VBur SE SW diff,% VBur NE SE diff,% VBur NW SW diff,% VBur NE SW diff,% VBur NW SE diff,% VBur asymm 1,% VBur asymm 2,% VBur asymm 3,% VBur octant 1,% VBur octant 2,% VBur octant 3,% VBur octant 4,% VBur octant 5,% VBur octant 6,% VBur octant 7,% VBur octant 8
ligand-47-p-p-21-int1,75,6,1,93,2.152,2.266,-0.01017,1.23855,1.08648,0.175,0.1521,-0.4654,-0.0998,0.1553,-0.4772,-0.1209,0.0836,-0.4537,-0.1225,0.0824,0.0235,0.0016,0.0012,-0.70928,-0.40599,-0.16623,-0.32417,0.24231,0.32128,-0.70928,-0.40599,-0.70224,-0.70224,-0.40599,-0.70928,-0.35396,0.24059,0.31877,-0.32417,0.24231,0.32128,1.17267,1.24872,1.09665,1.6279,0.3656,0.2551,1.71575,0.3563,0.2045,1.54018,0.3312,0.2049,-0.155388,0.374569,0.343767,0.030802,-0.0788,-0.1104,0.1512,81.56215058,73.4788483,71.43123369,92.2684495,89.07007082,92.2684495,71.43123369,20.8372158,90.66926016,72.455041,82.8736489,80.25065225,81.8498416,81.27445956,18.21421916,2.622996646,0.575382035,64.60119269,63.5948565,80.12020127,85.57584793,98.96105106,98.01994037,79.26761088,82.35650391
ligand-471-p-o-168-int1,15,1,10,87,2.141,1.89,0.28917,1.22702,-0.68797,0.1461,1.915,-0.286,-0.1732,-0.0136,-0.5128,-0.114,-0.0471,0.3944,-0.2956,0.2044,0.9072,0.1816,0.2515,-0.51594,-0.40118,-0.38815,0.39436,0.23177,0.22797,-0.51594,-0.40118,-0.68797,0.39436,-0.51202,-0.17685,-0.51038,0.39436,0.22797,0.39436,-0.07927,1.22702,0.01967,0.93785,0.97714,0.5555,0.1128,0.1596,1.73982,0.3988,0.0669,1.08237,0.69,0.5,0.296865,0.292822,-0.623313,0.916135,0.0969,-0.1861,0.0223,69.45583302,77.6160082,56.65532985,82.19344018,61.35855386,82.19344018,56.65532985,25.53811032,71.77599702,67.13566903,79.90472419,59.00694186,69.42438502,69.48728103,4.640327991,20.89778233,0.062896012,72.19530376,50.83861349,61.69865822,77.80003727,86.58684309,61.0184495,62.47204622,83.03671264
ligand-472-p-o-169-int1,62,1,27,87,2.143,1.925,0.29752,1.20302,-0.67407,0.1453,1.8771,-0.1985,-0.1408,-0.0441,-0.4105,-0.0461,-0.0952,0.4374,-0.3363,0.2136,0.8479,0.2902,0.3088,-0.54211,-0.19289,-0.25617,0.43738,0.01028,0.2268,-0.54211,-0.19289,-0.67407,0.43738,-0.54211,-0.16322,-0.33814,0.43738,0.2268,0.43738,-0.13057,1.20302,0.03302,0.9055,0.97159,0.463,0.0577,0.0967,1.61352,0.3644,0.0491,1.11147,0.7737,0.5499,0.069803,0.359923,-0.5421,0.902023,0.0578,-0.1179,-0.017,80.65481737,81.52953783,58.39545285,97.25121133,85.44306746,97.25121133,58.39545285,38.85575848,91.3471394,69.96249534,89.39037458,71.91926016,77.82333209,83.48630265,21.38464406,17.47111442,5.662970555,74.30581439,57.51956765,81.69027208,95.13138278,99.37103988,89.19586284,59.27133805,88.75326127
ligand-473-p-o-170-int1,47,1,5,96,2.164,1.925,0.29629,1.21173,-0.929,0.1856,2.1407,0.2903,-0.3672,-0.0077,-0.4173,-0.1974,0.1652,2.4131,-0.7413,-0.2701,2.8304,0.5439,0.4353,-0.53284,-0.98069,-0.38553,2.41312,0.27761,0.22081,-0.53284,-0.39465,-0.38553,2.41312,-0.98069,-0.35686,-0.35686,0.27761,2.41312,2.41312,-0.30075,-0.18341,0.15489,0.91544,1.22529,0.1489,0.6575,0.3595,1.62903,0.2199,0.3626,3.3421,3.1544,0.4712,0.353667,0.166025,-0.497964,0.663989,0.2801,-0.2538,0.0227,74.10547894,86.93160641,72.26518822,83.16483414,54.06028699,86.93160641,54.06028699,32.87131942,68.61256057,79.59839732,85.04822028,63.16273761,77.71501118,70.4959467,10.98583675,21.88548267,7.21906448,80.17610883,59.63007827,51.160082,74.97670518,91.3529631,56.96049199,84.90029817,93.68710399
ligand-474-p-c-32-int1,69,4,17,85,2.131,1.951,0.07651,1.21883,0.23644,0.1587,0.9824,-0.3162,-0.1,0.0203,-0.2916,-0.2173,0.04,-0.3531,0.0083,0.1899,0.0615,0.2256,0.1499,-0.40285,-0.20479,-0.19109,-0.11065,0.11808,0.24195,-0.40285,-0.35999,-0.19109,-0.35999,-0.11065,-0.20479,-0.11065,-0.17049,0.23741,-0.34628,0.11808,1.21883,0.65109,1.14232,0.15993,1.0438,0.2162,0.1203,1.51043,0.0743,0.2573,0.58954,0.3614,0.1816,0.167736,0.343512,-0.038065,0.381577,-0.0088,-0.1018,0.0339,83.56201081,76.49552739,72.30944838,89.47307119,95.96999627,95.96999627,72.30944838,23.66054789,92.72153373,74.40248789,82.98429929,84.13972233,80.89125978,86.23276183,18.31904584,1.155423034,5.34150205,69.31140514,69.19493105,96.50577712,83.07398435,95.87215803,95.43421543,75.42396571,83.67964965
ligand-475-p-c-33-int1,109,4,17,67,2.922,1.728,0.07651,1.21027,0.23615,0.1523,0.9741,-0.3229,-0.096,0.0213,-0.2947,-0.2158,0.0384,-0.365,0.0131,0.1935,0.0703,0.2289,0.1551,-0.3977,-0.21031,-0.19867,-0.10559,0.11316,0.2412,-0.3977,-0.36874,-0.19867,-0.36874,-0.10559,-0.21031,-0.10559,-0.17235,0.23615,-0.36133,0.11316,1.21027,0.64669,1.13376,0.15964,1.0461,0.2269,0.1173,1.50497,0.0789,0.2542,0.60115,0.3781,0.1804,0.167736,0.468472,-0.017628,0.4861,0.0205,-0.1014,0.0038,92.20671823,86.31196422,96.4685054,91.56494596,94.48145732,96.4685054,86.31196422,10.15654119,93.02320164,91.39023481,88.93845509,95.47498136,94.01672568,90.39671077,1.632966828,6.536526277,3.620014909,80.47428252,95.93272456,95.28512859,84.9608647,98.16902721,93.67778606,97.00428625,92.14964592
ligand-476-p-p-31-int1,77,18,19,107,2.249,2.404,0.13627,1.15981,1.02195,0.154,0.1379,-0.3187,-0.4284,0.1606,-0.3291,-0.4295,0.161,-0.3082,-0.4274,0.1602,0.0209,0.0021,0.0008,-0.35418,-0.60583,-0.16092,-0.29036,-0.16706,0.23989,-0.35418,-0.60501,-0.16092,-0.32601,-0.60583,-0.15618,-0.30409,-0.1684,0.23989,-0.29036,-0.16706,0.23655,0.95463,1.02354,0.88568,1.4096,0.1097,0.589,1.48891,0.1004,0.5905,1.33015,0.1192,0.5876,-0.450778,0.314833,0.309759,0.005074,0.2826,-0.3881,0.0922,88.42247484,88.45042862,85.2706858,91.29705553,88.67172941,91.29705553,85.2706858,6.026369735,89.98439247,86.86055721,89.87374208,86.9712076,88.28387067,88.56107902,3.123835259,2.902534476,0.277208349,88.43179277,74.62262393,86.13958256,85.18915393,97.40495714,91.20387626,95.91874767,88.46906448
ligand-477-p-p-32-int1,25,18,19,103,2.193,2.301,0.05907,1.22928,1.10757,0.1578,0.1217,-0.4478,-0.1804,0.0156,-0.4499,-0.1827,0.0147,-0.4456,-0.178,0.0164,0.0043,0.0047,0.0017,-0.51441,-0.40044,-0.38639,-0.32994,0.22922,0.2399,-0.51441,-0.40044,-0.38639,-0.50918,-0.39337,-0.38367,-0.33189,0.22762,0.23735,-0.32994,0.22922,0.2399,1.10933,1.17021,1.0485,1.6162,0.2674,0.196,1.67918,0.2672,0.1974,1.55317,0.2676,0.1944,-0.251886,0.377295,0.353204,0.024091,0.0911,-0.2178,0.0224,85.13382874,88.9559262,78.99739098,89.09103615,83.49096161,89.09103615,78.99739098,10.09364517,86.29099888,83.97665859,89.02348118,81.2441763,84.04421357,86.22344391,2.314340291,7.779304883,2.179230339,87.92862467,59.23406634,81.40607529,85.17051808,93.01155423,85.57584793,98.76071562,89.98322773
ligand-478-p-p-33-int1,69,39,18,98,2.18,2.335,0.02634,1.25307,1.09663,0.1636,0.1564,-0.3567,-0.1793,0.0231,-0.3708,-0.177,0.0227,-0.3426,-0.1817,0.0236,0.0282,0.0047,0.0009,-0.37656,-0.19819,-0.20233,-0.32837,-0.15296,0.2496,-0.37656,-0.19489,-0.19981,-0.35745,-0.19819,-0.20233,-0.35945,-0.15296,0.24341,-0.32837,-0.15606,0.2496,1.14846,1.22673,1.07029,1.5315,0.1774,0.2024,1.62387,0.1938,0.1997,1.43923,0.1609,0.2053,-0.439368,0.542924,0.523893,0.019031,0.0183,-0.2104,0.028,83.6313129,84.50894521,88.0031681,78.65262766,83.36051062,88.0031681,78.65262766,9.35054044,81.00656914,86.25605665,81.58078643,85.68183936,83.32789788,83.93472792,5.249487514,4.101052926,0.606830041,76.17871785,82.78512859,72.46552367,61.99217294,95.31308237,94.25549758,93.2212076,92.83917257
ligand-479-p-p-34-int1,82,1,36,96,2.168,2.283,0.02705,1.23139,1.08366,0.1504,0.1477,-0.3619,-0.1587,0.0096,-0.3732,-0.1578,0.009,-0.3506,-0.1595,0.0082,0.0226,0.0017,0.0008,-0.39208,-0.21053,-0.20605,-0.33226,0.00316,0.22505,-0.39208,-0.20896,-0.19725,-0.37321,-0.21053,-0.20605,-0.35617,0.00316,0.22505,-0.33226,-0.00749,0.22445,1.13045,1.20434,1.05661,1.5194,0.2032,0.1683,1.60459,0.2154,0.1668,1.43426,0.1911,0.1677,-0.311073,0.431633,0.631686,0.200053,0.0417,-0.1524,0.0156,83.51833302,77.21300783,78.15178904,92.78792397,85.92061126,92.78792397,77.21300783,15.57491614,89.35426761,77.68239843,85.0004659,82.03620015,85.4698565,81.56680954,11.67186918,2.964265747,3.903046962,67.43850168,61.56354827,83.52590384,86.74058889,98.83525904,88.31531867,94.74002982,86.98751398
ligand-48-p-p-22-int1,75,1,6,96,2.152,2.256,-0.02728,1.2415,1.10081,0.1718,0.1407,-0.5113,-0.058,-0.0001,-0.5182,-0.083,-0.0435,-0.5043,-0.0825,-0.0448,0.0139,0.0005,0.0013,-0.70303,-0.40354,-0.30062,-0.40347,0.24148,0.2274,-0.70303,-0.40354,-0.70146,-0.70146,-0.40354,-0.70303,-0.42428,0.24148,0.2274,-0.40347,0.23778,0.2274,1.19848,1.26878,1.12809,1.6825,0.4533,0.0579,1.7597,0.4352,0.0395,1.60511,0.4218,0.0377,-0.095603,0.435943,0.308096,0.127847,-0.1121,-0.0744,-0.022,82.56499255,89.01649273,85.45704435,79.26994037,76.51649273,89.01649273,76.51649273,12.5,77.89321655,87.23676854,84.14321655,80.98676854,82.36349236,82.76649273,9.343551994,3.156448006,0.403000373,81.51323146,73.39731644,72.47950056,76.57472978,81.96515095,80.5534849,97.51677227,96.51975401
ligand-480-p-p-35-int1,61,18,19,105,2.208,2.322,0.0639,1.20384,1.08358,0.1603,0.1203,-0.4216,-0.3133,0.1447,-0.4276,-0.3838,0.1452,-0.4155,-0.2569,0.1441,0.0121,0.1269,0.0011,-0.50662,-0.60051,-0.15836,-0.33844,0.23378,0.24074,-0.50662,-0.60051,-0.15836,-0.49265,-0.59953,-0.15392,-0.34867,-0.16562,0.24074,-0.33844,0.23378,0.23816,1.0798,1.13994,1.01968,1.5653,0.1083,0.458,1.63144,0.0438,0.529,1.49908,0.1586,0.401,-0.245611,0.289842,0.323268,0.033426,0.1316,-0.2982,0.0792,83.18114051,74.61796496,80.90290719,88.6857063,88.5179836,88.6857063,74.61796496,14.06774133,88.60184495,77.76043608,81.65183563,84.7104454,84.79430675,81.56797428,10.84140887,3.058609765,3.226332464,67.69474469,65.91967946,85.54323518,80.19940365,97.17200895,91.49273202,95.88613492,81.54118524
ligand-481-p-p-36-int1,78,51,11,107,2.237,2.387,0.10214,1.16255,1.0457,0.1603,0.1168,-0.3632,-0.1079,-0.0148,-0.3723,-0.1053,-0.0337,-0.354,-0.1105,-0.0347,0.0183,0.0052,0.001,-0.3968,-0.20763,-0.48223,-0.32775,0.31074,0.2279,-0.3968,-0.20763,-0.48223,-0.38366,-0.20667,-0.48223,-0.35975,0.31074,0.2279,-0.32775,0.30275,0.22475,1.00196,1.06041,0.94356,1.4673,0.2553,0.0931,1.53485,0.267,0.0716,1.3997,0.2435,0.0758,-0.309431,0.522626,0.550883,0.028257,-0.0738,-0.102,-0.0062,81.38743943,84.86535594,90.69837868,75.28885576,74.69716735,90.69837868,74.69716735,16.00121133,74.99301155,87.78186731,80.07710585,82.69777302,82.99361722,79.78126165,12.78885576,2.620667164,3.212355572,70.42023854,85.13790533,72.61926947,74.09616101,76.4815505,76.77506523,96.25885203,99.31047335
ligand-482-p-p-37-int1,60,15,1,86,2.147,2.248,-0.00321,1.24304,1.09381,0.1791,0.1492,-0.3632,-0.1851,0.0155,-0.3754,-0.2074,0.0889,-0.351,-0.2134,0.101,0.0244,0.006,0.0121,-0.39177,-0.19676,-0.19365,-0.32637,-0.16974,0.22537,-0.39177,-0.32637,-0.19365,-0.37185,-0.34756,-0.19279,-0.34756,-0.16974,1.09381,-0.32637,-0.17273,1.24304,1.17161,1.24625,1.09702,1.5316,0.1781,0.2006,1.61844,0.168,0.2963,1.44481,0.1376,0.3144,-0.039637,0.374756,0.424563,0.049807,-0.0356,-0.1636,0.0289,79.72593645,75.7990123,70.98164368,90.30702572,81.81606411,90.30702572,70.98164368,19.32538204,86.06154491,73.39032799,83.05301901,76.39885389,80.6443347,78.8075382,12.67121692,6.654165114,1.836796496,67.47577339,60.68766306,68.5054044,81.9465151,98.66753634,95.12672382,81.2756243,84.12225121
ligand-486-p-p-41-int1,56,15,1,89,2.162,2.245,-0.01793,1.23921,1.09623,0.1942,0.143,-0.4613,-0.3026,0.1888,-0.3977,-0.4144,0.2211,-0.5248,-0.2035,0.2341,0.1271,0.2109,0.013,-0.94325,-0.61388,-0.17282,-0.28648,0.25218,0.22799,-0.52158,-0.6085,-0.18421,-0.94325,-0.61388,-0.193,-0.30867,0.23158,1.09623,-0.28648,0.25218,1.23921,1.18563,1.25714,1.11416,1.629,0.1587,0.4914,1.63691,0.0167,0.6355,1.62103,0.3213,0.4376,-0.161915,0.304579,0.314379,0.0098,-0.0525,-0.1975,0.1183,83.74895173,85.77618338,81.75549758,89.14461424,78.31951174,89.14461424,78.31951174,10.8251025,83.73206299,83.76584048,87.46039881,80.03750466,85.45005591,82.04784756,0.033777488,7.422894148,3.402208349,77.37607156,65.56093925,69.05516213,78.87625792,99.41297056,87.58386135,97.95005591,94.17629519
ligand-497-p-n-43-int1,70,1,7,82,2.098,1.942,0.21756,1.45395,-0.65879,0.1452,2.1127,-0.1413,-0.0702,-0.1403,-0.5556,0.2195,-0.2741,0.4803,-0.4689,0.2737,1.0359,0.6884,0.5478,-0.79071,-0.64066,-0.47394,0.79351,0.34103,0.23149,-0.79071,-0.1536,-0.65879,0.16709,-0.79071,-0.20286,-0.43487,0.79351,0.23149,0.79351,-0.22157,1.45395,0.18004,1.23639,0.87635,0.5389,0.0711,0.0701,2.00955,0.7751,0.4936,1.13909,0.9492,0.7426,0.294552,0.469555,-0.421273,0.890828,0.0926,-0.0506,-0.1088,79.10571189,81.01938129,72.31410734,92.41753634,70.67182259,92.41753634,70.67182259,21.74571375,81.54467946,76.66674432,86.71845881,71.49296496,82.36582184,75.84560194,4.877935147,15.22549385,6.520219903,70.33637719,63.50633619,69.89377562,86.10231085,98.73276183,71.44986955,81.12187849,91.70238539
ligand-498-p-n-44-int1,79,1,7,83,2.102,1.918,0.20809,1.44963,-0.68706,0.1611,2.1367,-0.1405,-0.0186,-0.205,-0.5596,0.2181,-0.2759,0.4881,-0.3667,0.1154,1.0477,0.5848,0.3913,-0.80538,-0.65818,-0.47323,0.79599,0.33305,0.22356,-0.80538,-0.15311,-0.68706,0.18024,-0.80538,-0.23637,-0.43625,0.79599,0.22356,0.79599,0.00095,1.44963,0.17321,1.24154,0.89515,0.5218,0.1219,0.1864,2.00923,0.7777,0.494,1.17516,0.8548,0.4821,-0.007185,0.574071,-0.220464,0.794535,0.0649,-0.013,-0.1476,87.53727171,82.98546403,88.17787924,94.90542303,84.08032054,94.90542303,82.98546403,11.919959,89.49287179,85.58167164,88.94544353,86.12909989,91.54165114,83.53289228,3.911200149,2.816343645,8.008758852,70.26649273,78.45695117,82.13753261,90.95229221,98.85855386,86.02310846,97.89880731,95.70443533
ligand-499-p-n-45-int1,57,1,7,82,2.101,1.948,0.21127,1.46148,-0.66312,0.1477,2.1246,-0.1504,0.0589,-0.2555,-0.5808,0.4019,-0.4103,0.4951,-0.4819,0.2754,1.0759,0.8838,0.6857,-0.80506,-0.65403,-0.48162,0.81737,0.37165,0.22878,-0.80506,0.16211,-0.66312,0.17279,-0.80506,-0.20685,-0.46161,0.81737,-0.19518,0.81737,-0.23077,1.46148,0.18793,1.25021,0.87439,0.5496,0.2093,0.3144,2.04228,0.9827,0.8122,1.15822,0.977,0.7573,0.121877,0.399017,-0.380317,0.779334,0.1302,0.0321,-0.1825,80.92969624,83.84737234,80.96813269,93.08376817,65.81951174,93.08376817,65.81951174,27.26425643,79.45163996,82.40775252,88.46557026,73.39382221,87.02595043,74.83344204,2.956112561,15.07174804,12.19250839,73.48117779,69.4325382,64.83414089,90.09970183,96.06783451,66.80488259,92.50372717,94.2135669
ligand-500-p-o-171-int1,19,1,5,96,2.152,1.93,0.27078,1.1975,-0.95193,0.1655,2.1494,0.3425,-0.368,-0.0467,-0.3508,-0.1695,0.1591,2.4223,-0.7415,-0.2613,2.7731,0.572,0.4204,-0.36295,-0.96471,-0.22215,2.42235,0.02487,0.24102,-0.36295,-0.29732,-0.22215,2.42235,-0.96471,-0.3375,-0.3375,0.02487,2.42235,2.42235,-0.29732,-0.18508,0.14798,0.92672,1.22271,0.2197,0.7105,0.3213,1.5483,0.1813,0.3286,3.37423,3.1638,0.4802,-0.11142,0.442703,-0.465708,0.908411,0.3298,-0.2666,-0.0122,86.27760436,90.37691018,77.01733135,88.95825568,88.75792024,90.37691018,77.01733135,13.35957883,88.85808796,83.69712076,89.66758293,82.88762579,82.98779351,89.56741521,5.160967201,6.779957138,6.579621692,83.21841223,61.65206858,81.36880358,78.33581811,99.58069325,96.1470369,92.38259411,97.53540813
ligand-501-p-o-172-int1,37,1,5,97,2.152,1.926,0.29491,1.1967,-0.93166,0.1768,2.1284,0.2994,-0.1232,-0.3075,-0.4071,0.159,-0.0803,2.419,-0.7481,-0.2538,2.8261,0.9071,0.1735,-0.45184,-0.98664,-0.48769,2.41898,0.38782,0.2146,-0.45184,-0.30464,-0.48769,2.41898,-0.98664,-0.31991,-0.31991,0.38782,2.41898,2.41898,-0.30464,-0.18759,0.16241,0.90179,1.22657,0.1669,0.4226,0.1843,1.6038,0.5661,0.2393,3.35066,3.1671,0.4943,0.233649,0.36655,-0.486726,0.853276,0.2572,-0.0554,-0.1991,81.61922288,96.49878867,82.37513977,87.75857249,59.84439061,96.49878867,59.84439061,36.65439806,73.80148155,89.43696422,92.12868058,71.10976519,85.06685613,78.17158964,15.63548267,21.01891539,6.895266493,93.14200522,75.36339918,51.44893776,76.160082,99.35706299,68.23984346,89.38688036,99.85557212
ligand-502-p-o-173-int1,19,1,5,91,2.155,1.957,0.25757,1.21578,-0.93033,0.1821,2.1461,0.2973,-0.3755,-0.0022,-0.406,-0.2101,0.1699,2.4072,-0.7363,-0.2622,2.8132,0.5262,0.4321,-0.51587,-0.97039,-0.38133,2.4072,0.21278,0.24332,-0.51587,-0.39774,-0.38133,2.4072,-0.97039,-0.34238,-0.34238,0.21278,2.4072,2.4072,-0.29995,-0.18197,0.11487,0.95821,1.1879,0.1546,0.6728,0.3733,1.62178,0.1959,0.38,3.33753,3.1435,0.4741,0.156411,0.249926,-0.460478,0.710404,0.2358,-0.2431,0.0309,79.12551249,92.97894148,88.91632501,81.6879426,52.91884085,92.97894148,52.91884085,40.06010063,67.30339173,90.94763325,87.33344204,70.91758293,85.30213381,72.94889117,23.64424152,16.41585911,12.35324264,88.23145732,80.90290719,44.01789042,68.85948565,94.51639955,61.81979128,96.92974283,97.72642564
ligand-503-p-o-174-int1,38,1,5,95,2.157,1.93,0.28968,1.20422,-0.92751,0.1819,2.1317,0.3406,-0.3878,0.0036,-0.3494,-0.1999,0.2042,2.4104,-0.7322,-0.2708,2.7598,0.5323,0.475,-0.36076,-0.96698,-0.19689,2.41036,-0.14723,0.22701,-0.36076,-0.29372,-0.19689,2.41036,-0.96698,-0.36076,-0.33947,-0.14723,2.41036,2.41036,-0.29372,-0.18074,0.15128,0.91454,1.21719,0.2022,0.7284,0.3914,1.55362,0.1495,0.4041,3.33791,3.1426,0.4614,0.301514,0.286153,-0.490267,0.77642,0.2414,-0.2487,0.0131,74.7711284,89.41250466,72.94772643,83.18347,53.54081252,89.41250466,53.54081252,35.87169214,68.36214126,81.18011554,86.29798733,63.24426947,78.06559821,71.47665859,12.81797428,23.05371785,6.58893962,81.45266493,59.40178904,50.8246366,73.81662318,92.55031681,56.25698845,86.49366381,97.37234439
ligand-504-p-o-175-int1,19,1,5,95,2.151,1.928,0.28257,1.18724,-0.92685,0.1886,2.1141,0.1597,-0.2671,0.1116,-0.5901,-0.095,0.3669,2.4091,-0.7349,-0.2702,2.9992,0.6399,0.6371,-0.71197,-0.96934,-0.19754,2.40908,0.24048,0.23574,-0.71197,-0.59944,-0.19754,2.40908,-0.96934,-0.35701,-0.35701,0.24048,2.40908,2.40908,-0.29298,-0.18332,0.15237,0.90467,1.20942,0.0295,0.4268,0.3787,1.77734,0.4951,0.4619,3.33595,3.144,0.4647,0.295076,0.284792,-0.49551,0.780302,0.0942,-0.1233,0.0588,73.91387905,88.73928438,80.49291837,76.05758479,50.36572866,88.73928438,50.36572866,38.37355572,63.21165673,84.61610138,82.39843459,65.42932352,78.27525158,69.55250652,21.40444465,16.96911107,8.722745061,79.33283638,65.62616474,47.56336191,68.11405143,84.00111815,53.16809542,95.35967201,98.14573239
ligand-508-p-p-43-int1,106,1,15,101,1.126,2.507,0.28257,1.55475,1.09637,0.1655,0.4584,-0.4998,0.1415,-0.1717,-0.6198,0.1624,-0.0703,-0.3799,-0.0388,-0.0084,0.2399,0.2012,0.0619,-0.99133,-0.19032,-0.4912,-0.29947,1.09115,0.22448,-0.99133,-0.29947,-0.4912,-0.42114,-0.39504,-0.46769,-0.39504,1.09115,1.09637,-0.29947,0.33739,1.55475,1.04303,1.27218,0.8138,1.8254,0.6413,0.3132,2.17455,0.7822,0.2327,1.47627,0.3411,0.0304,0.295076,0.625193,0.733671,0.108478,-0.1423,0.0686,-0.0803,87.47029911,77.57640701,90.19055162,91.89340291,90.22083489,91.89340291,77.57640701,14.3169959,91.0571189,83.88347931,84.73490496,90.20569325,91.04197726,83.89862095,7.173639583,5.470788297,7.143356318,76.18803578,82.94819232,83.11125606,84.97018263,98.81662318,97.33041372,97.43291092,78.96477823
ligand-509-p-p-44-int1,100,1,15,83,2.111,2.272,0.00888,1.56127,1.09854,0.147,0.4627,-0.5041,0.0872,-0.1532,-0.63,0.0644,-0.0239,-0.3782,-0.0384,-0.0079,0.2518,0.1028,0.016,-0.98047,-0.19043,-0.46784,-0.30143,1.07485,0.2234,-0.98047,-0.30143,-0.4307,-0.42018,-0.39257,-0.46784,-0.39257,1.07485,1.09854,-0.30143,0.33744,1.56127,1.32102,1.55239,1.08966,1.834,0.5913,0.2404,2.19127,0.6944,0.0883,1.47674,0.3398,0.0305,-0.120476,0.376319,0.71473,0.338411,-0.0959,-0.0048,-0.0771,85.99049571,74.22894148,90.87076034,88.37821469,90.48406634,90.87076034,74.22894148,16.64181886,89.43114051,82.54985091,81.30357808,90.67741334,89.62448751,82.35650391,6.881289601,9.373835259,7.2679836,69.80991428,85.10995155,83.46999627,77.80003727,98.9563921,97.49813641,96.63156914,78.64796869
ligand-510-p-p-45-int1,76,36,1,97,2.164,2.283,0.02995,1.22871,1.08199,0.1678,0.1467,-0.3591,-0.135,0.0026,-0.3697,-0.1084,0.0074,-0.3485,-0.1662,0.0237,0.0212,0.0578,0.0163,-0.38489,-0.2042,-0.2062,-0.33471,0.22503,0.22326,-0.38489,-0.20076,-0.19931,-0.36957,-0.2042,-0.2062,-0.35367,0.22503,0.22126,-0.33471,-0.04128,0.22326,1.12535,1.19876,1.05204,1.5144,0.2241,0.1376,1.59841,0.2613,0.1158,1.43049,0.1823,0.1899,-0.265041,0.456381,0.560738,0.104357,0.0288,-0.1436,0.008,83.84562523,75.97139396,79.37476705,92.41287738,87.62346254,92.41287738,75.97139396,16.44148341,90.01816996,77.67308051,84.19213567,83.4991148,85.89382221,81.79742825,12.34508945,0.693020872,4.096393962,65.89172568,64.29836004,86.51229966,86.29798733,98.52776742,88.73462542,94.45117406,86.05106224
ligand-511-p-p-46-int1,68,36,1,97,2.166,2.288,0.03509,1.22903,1.08046,0.1617,0.1486,-0.3504,-0.1449,0.0355,-0.3617,-0.1176,0.0329,-0.3391,-0.1768,0.047,0.0226,0.0592,0.0141,-0.38466,-0.23287,-0.206,-0.30952,0.22418,0.34355,-0.38466,-0.22929,-0.20264,-0.36654,-0.23287,-0.206,-0.33042,0.22418,0.34273,-0.30952,-0.08208,0.34355,1.11961,1.19394,1.04537,1.5051,0.2055,0.1804,1.59073,0.2441,0.1505,1.41956,0.1623,0.2238,-0.238741,0.439988,0.550938,0.11095,0.0381,-0.1572,0.0483,83.14095695,75.85724935,78.36610138,92.0494782,86.29099888,92.0494782,75.85724935,16.19222885,89.17023854,77.11167536,83.95336377,82.32855013,85.20778979,81.07412411,12.05856318,1.624813641,4.133665673,65.99888185,63.31065971,85.33358181,85.95788297,98.14107343,87.24841595,93.42154305,85.71561685
