Name,Metal,Atom_A,Atom_B,A-M-B Angle,M-A Distance,M-B Distance,Metal_NBO,A_NBO,B_NBO,HOMO_LUMO,A-B_NBO,NBO-dist-2-avg,NBO-dist-3-avg,NBO-dist-4-avg,NBO-dist-2-a-avg,NBO-dist-3-a-avg,NBO-dist-4-a-avg,NBO-dist-2-b-avg,NBO-dist-3-b-avg,NBO-dist-4-b-avg,NBO-dist-2-a-b-diff,NBO-dist-3-a-b-diff,NBO-dist-4-a-b-diff,NBO-dist-2-min,NBO-dist-3-min,NBO-dist-4-min,NBO-dist-2-max,NBO-dist-3-max,NBO-dist-4-max,NBO-dist-2-a-min,NBO-dist-3-a-min,NBO-dist-4-a-min,NBO-dist-2-b-min,NBO-dist-3-b-min,NBO-dist-4-b-min,NBO-dist-2-a-max,NBO-dist-3-a-max,NBO-dist-4-a-max,NBO-dist-2-b-max,NBO-dist-3-b-max,NBO-dist-4-b-max,NBO-metal-donor-diff,NBO-metal-a-diff,NBO-metal-b-diff,NBO-dist-2-1-avg-diff,NBO-dist-3-2-avg-diff,NBO-dist-4-3-avg-diff,NBO-dist-2-1-a-avg-diff,NBO-dist-3-2-a-avg-diff,NBO-dist-4-3-a-avg-diff,NBO-dist-2-1-b-avg-diff,NBO-dist-3-2-b-avg-diff,NBO-dist-4-3-b-avg-diff,Metal_mullkien,A_mulliken,B_mulliken,A-B_mulliken,Mulliken-dist-2-avg,Mulliken-dist-3-avg,Mulliken-dist-4-avg,Total % VBur,% VBur SE,% VBur SW,% VBur NE,% VBur NW,% VBur max,% VBur min,% VBur max min diff,% VBur NE NW diff,% VBur SE SW diff,% VBur NE SE diff,% VBur NW SW diff,% VBur NE SW diff,% VBur NW SE diff,% VBur asymm 1,% VBur asymm 2,% VBur asymm 3,% VBur octant 1,% VBur octant 2,% VBur octant 3,% VBur octant 4,% VBur octant 5,% VBur octant 6,% VBur octant 7,% VBur octant 8
ligand-42-p-p-16-int1,72,11,10,89,2.18,2.292,0.07396,1.21012,1.06353,0.1743,0.1466,-0.5127,0.1363,-0.1963,-0.5253,0.0175,-0.0024,-0.5,0.0115,0.012,0.0253,0.006,0.0144,-0.72078,-0.16675,-0.47712,-0.38647,0.33245,0.21809,-0.72078,-0.71193,-0.47657,-0.71193,-0.72078,-0.47712,-0.42613,0.33245,1.06353,-0.38647,0.32665,1.21012,1.06284,1.13616,0.98957,1.6495,0.649,0.3326,1.73542,0.5428,0.0199,1.56353,0.5115,0.0005,0.07247,0.507652,0.449125,0.058527,-0.2122,0.1327,-0.1493,83.87357902,94.47912784,95.99795006,76.51649273,68.50074543,95.99795006,68.50074543,27.49720462,72.50861908,95.23853895,85.49781029,82.24934775,86.25722139,81.48993664,22.72991987,3.248462542,4.767284756,89.99720462,96.00260902,61.82910921,68.26779724,84.76518822,75.17238166,95.99329109,98.96105106
ligand-43-p-p-17-int1,75,6,1,91,2.156,2.285,0.06633,1.19638,1.0655,0.1778,0.1309,-0.5067,0.0936,-0.15,-0.5138,0.0597,-0.1679,-0.4996,0.0583,-0.1648,0.0142,0.0014,0.0031,-0.70271,-0.39012,-0.48795,-0.39293,0.32911,0.22297,-0.70271,-0.39012,-0.69827,-0.69827,-0.39012,-0.70271,-0.41819,0.32567,0.22297,-0.39293,0.32911,0.22297,1.06457,1.13005,0.99917,1.6376,0.6003,0.2436,1.71018,0.5735,0.2276,1.5651,0.5579,0.2231,-0.34524,0.645542,0.747978,0.102436,-0.2201,0.0906,-0.1124,91.81653,96.00260902,95.16399553,86.04174432,90.05777115,96.00260902,86.04174432,9.960864704,88.04975773,95.58330227,91.02217667,92.61088334,90.60286992,93.03019009,7.53354454,1.588706672,2.427320164,93.03950801,91.54863958,84.15486396,80.14815505,91.93533358,95.96067835,98.77935147,98.96571003
ligand-431-p-c-29-int1,66,31,8,83,2.126,1.945,0.07124,1.23619,0.26006,0.1924,0.9761,-0.4061,-0.029,0.0532,-0.4302,-0.0904,0.0295,-0.37,-0.1259,0.3211,0.0602,0.0355,0.2916,-0.50576,-0.19563,-0.19336,-0.36885,0.23957,0.24333,-0.50576,-0.36885,-0.19336,-0.3711,-0.50576,0.01935,-0.37612,0.23957,0.26006,-0.36885,0.11752,1.23619,0.67686,1.16495,0.18882,1.1542,0.3771,0.0822,1.66639,0.3398,0.1199,0.63006,0.2441,0.447,0.207378,0.386615,-0.052374,0.438989,-0.0773,-0.0279,0.0401,82.03794726,76.16939993,66.09904957,89.00018636,96.88315319,96.88315319,66.09904957,30.78410362,92.94166977,71.13422475,82.58479314,81.49110138,77.54961796,86.52627656,21.80744502,1.093691763,8.976658591,68.2212076,60.9019754,95.96999627,81.78345136,96.21692136,97.7963101,71.29612374,84.11759225
ligand-432-p-c-30-int1,76,14,40,99,2.173,1.958,0.11635,1.19895,0.25507,0.191,0.9439,-0.3667,-0.1196,0.0548,-0.3674,-0.1633,-0.0219,-0.3656,-0.054,0.1352,0.0018,0.1093,0.1571,-0.3829,-0.21916,-0.19627,-0.34807,0.12338,0.23948,-0.3829,-0.19898,-0.21916,-0.37788,-0.21916,-0.02915,-0.34807,-0.02915,0.22638,-0.35329,0.12338,0.23948,0.61065,1.0826,0.13872,1.0937,0.2471,0.1744,1.56635,0.2041,0.1414,0.62067,0.3116,0.1892,0.140187,0.392304,-0.045622,0.437926,-0.0336,-0.1126,0.0556,84.04770779,88.08469996,72.1650205,87.49301155,88.44809914,88.44809914,72.1650205,16.28307864,87.97055535,80.12486023,87.78885576,80.30655982,79.82901603,88.26639955,7.845695117,7.482295937,8.437383526,81.40141633,67.98825941,86.73592993,83.61442415,91.37159896,90.16026836,76.34178159,94.7679836
ligand-44-p-p-18-int1,86,1,6,100,2.187,2.347,0.07758,1.22561,1.04698,0.1824,0.1786,-0.5807,-0.1172,0.0357,-0.5894,-0.1194,0.0086,-0.5719,-0.1151,0.0053,0.0175,0.0043,0.0033,-0.73302,-0.40375,-0.38557,-0.50326,0.23765,0.22379,-0.73302,-0.40375,-0.38718,-0.70253,-0.39555,-0.40375,-0.5105,0.23765,0.22378,-0.50326,0.2367,0.22379,1.05872,1.14803,0.9694,1.717,0.4635,0.1529,1.81501,0.47,0.128,1.61888,0.4568,0.1204,-0.267308,0.356319,0.490955,0.134636,-0.1338,-0.1027,0.0371,81.17545658,91.60920611,82.02105852,77.35976519,73.7117965,91.60920611,73.7117965,17.89740962,75.53578084,86.81513231,84.48448565,77.86642751,79.69041185,82.6605013,11.27935147,6.618058144,2.970089452,88.23611629,74.32910921,65.76127469,65.00652255,89.71300783,81.6623183,89.71300783,94.98229594
ligand-464-p-o-161-int1,58,1,2,88,2.155,1.972,0.29762,1.39082,-1.05062,0.1494,2.4414,0.0703,-0.2011,-0.093,-0.6371,0.2877,-0.2031,2.1925,-0.6786,0.1292,2.8296,0.9663,0.3323,-1.0942,-0.47233,-0.2083,2.19249,0.03914,0.22465,-1.0942,-0.18346,-1.05062,2.19249,-1.0942,-0.16624,-0.40643,2.19249,0.22465,2.19249,-0.46918,1.39082,0.12752,1.0932,1.34824,0.0998,0.2714,0.1081,2.02792,0.9248,0.4908,3.24312,2.8711,0.8078,-0.124971,0.358293,-0.431975,0.790268,0.2622,-0.106,-0.1263,85.82044353,83.45601938,72.71710772,97.41893403,89.68971301,97.41893403,72.71710772,24.70182631,93.55432352,78.08656355,90.43747671,81.20341036,85.06802087,86.57286619,15.46775997,9.234066344,1.504845322,78.99273202,60.83209094,85.86936265,96.11908312,98.71878494,93.51006336,84.60212449,87.91930675
ligand-466-p-o-163-int1,65,1,2,89,2.138,1.963,0.29377,1.40077,-1.04162,0.1516,2.4424,0.0472,-0.0728,-0.2181,-0.6689,0.4338,-0.3419,2.1954,-0.6682,0.1252,2.8643,1.102,0.4671,-1.08768,-0.46139,-0.47822,2.19538,0.33956,0.22225,-1.08768,-0.16116,-1.04162,2.19538,-1.08768,-0.18361,-0.45511,2.19538,0.22225,2.19538,-0.45545,1.40077,0.11417,1.107,1.33539,0.1324,0.12,0.1453,2.06967,1.1027,0.7757,3.23702,2.8636,0.7934,0.204061,0.328293,-0.504675,0.832968,0.2621,-0.0312,-0.2125,78.41793235,85.81112561,67.81121878,90.20918748,69.84019754,90.20918748,67.81121878,22.39796869,80.02469251,76.8111722,88.01015654,68.82570816,79.01020313,77.82566157,3.213520313,19.18444838,1.184541558,74.89284383,61.22810287,59.12691018,81.52720835,98.8911666,80.5534849,74.3943347,96.72940738
ligand-467-p-o-164-int1,65,1,2,90,2.145,1.963,0.29111,1.39824,-1.04221,0.1551,2.4405,0.0332,0.0866,-0.306,-0.6882,0.6194,-0.4267,2.1974,-0.6659,0.1263,2.8856,1.2853,0.553,-1.08526,-0.45957,-0.48384,2.19742,0.38214,-0.16405,-1.08526,0.05122,-1.04221,2.19742,-1.08526,-0.18489,-0.48533,2.19742,-0.17555,2.19742,-0.45295,1.39824,0.11311,1.10713,1.33332,0.1448,0.0534,0.3926,2.08644,1.3076,1.0461,3.23961,2.8633,0.7922,0.153516,0.321514,-0.502424,0.823938,0.2638,0.1179,-0.2706,79.16686079,85.24273202,67.73900485,91.31103243,72.37467387,91.31103243,67.73900485,23.57202758,81.84285315,76.49086843,88.27688222,70.05683936,79.52501864,78.80870294,5.351984719,18.22004286,0.716315691,75.75009318,62.53727171,61.96421916,83.14852777,99.47353709,82.78512859,72.94073798,94.73537085
ligand-468-p-o-165-int1,55,1,30,87,2.15,1.917,0.29991,1.19506,-0.66521,0.1524,1.8603,-0.1939,-0.1415,-0.0548,-0.3985,-0.0454,-0.1004,0.42,-0.3296,0.1948,0.8185,0.2842,0.2952,-0.50262,-0.19907,-0.28717,0.42004,0.02329,0.22713,-0.50262,-0.19907,-0.66521,0.42004,-0.50262,-0.14079,-0.33909,0.42004,0.22713,0.42004,-0.15664,1.19506,0.03501,0.89515,0.96512,0.4588,0.0524,0.0867,1.59356,0.3531,0.055,1.08521,0.7496,0.5244,0.032138,0.369118,-0.527836,0.896954,0.0884,-0.1314,-0.0248,82.16082743,81.07062989,61.85939247,96.05385762,89.65942974,96.05385762,61.85939247,34.19446515,92.85664368,71.46501118,88.56224376,75.75941111,78.95662505,85.36502982,21.3916325,12.80283265,6.408404771,76.46757361,57.98080507,86.14424152,92.84383153,99.26388371,93.17461796,65.73797987,85.67368617
ligand-469-p-o-166-int1,102,1,30,17,5.245,2.719,0.29991,1.1929,-0.68101,0.1528,1.8739,-0.1888,-0.1422,-0.0434,-0.3913,-0.0464,-0.0992,0.4185,-0.3173,0.2196,0.8098,0.2709,0.3188,-0.47836,-0.18902,-0.27543,0.41848,0.0137,0.22488,-0.47836,-0.18902,-0.68101,0.41848,-0.47836,-0.14723,-0.33853,0.41848,0.22488,0.41848,-0.15617,1.1929,0.04401,0.89299,0.98092,0.4447,0.0466,0.0988,1.5842,0.3449,0.0528,1.09951,0.7358,0.5369,0.032138,0.418038,-0.561089,0.979127,0.0321,-0.1213,0.0096,81.77296869,79.77077898,58.08563176,96.97866195,92.25680209,96.97866195,58.08563176,38.89303019,94.61773202,68.92820537,88.37472046,75.17121692,77.53214685,86.01379053,25.68952665,13.20350354,8.481643682,73.93775624,55.49291837,89.98788669,94.58162505,99.37569884,94.52571748,60.67834514,85.60380171
