Filename,Atoms_distance_2,Atoms_distance_3,Atoms_distance_4,Atoms_distance_2_a,Atoms_distance_3_a,Atoms_distance_4_a,Atoms_distance_2_b,Atoms_distance_3_b,Atoms_distance_4_b
ligand-186-p-o-53-int1,"[2, 4, 19, 30]","[3, 6, 7, 11, 20, 21, 31, 32]","[2, 4, 8, 10, 15, 22, 23, 24, 25, 33, 34, 35]","[2, 19, 30]","[3, 11, 20, 21, 31, 32]","[4, 8, 10, 15, 22, 23, 24, 25, 33, 34, 35]",[4],"[3, 6, 7]","[2, 8]"
ligand-187-p-o-54-int1,"[2, 4, 29, 46]","[3, 6, 7, 11, 30, 31, 32, 47, 48, 49]","[2, 4, 8, 10, 15, 33, 34, 35, 36, 37, 38, 50, 51, 52, 53, 54, 55]","[2, 29, 46]","[3, 11, 30, 31, 32, 47, 48, 49]","[4, 8, 10, 15, 33, 34, 35, 36, 37, 38, 50, 51, 52, 53, 54, 55]",[4],"[3, 6, 7]","[2, 8]"
ligand-19-p-c-6-int1,"[1, 14, 31, 53, 54]","[6, 7, 8, 10, 15, 16, 17, 32, 33, 34, 48, 51, 55]","[8, 9, 10, 11, 12, 13, 18, 19, 20, 21, 22, 23, 35, 36, 37, 38, 39, 40, 50, 52, 56, 57, 58]","[1, 14, 31]","[6, 7, 8, 15, 16, 17, 32, 33, 34]","[9, 10, 13, 18, 19, 20, 21, 22, 23, 35, 36, 37, 38, 39, 40]","[53, 54]","[10, 48, 51, 55]","[8, 11, 12, 50, 52, 56, 57, 58]"
ligand-2-p-p-1-int1,"[1, 7, 12, 23, 34, 45]","[1, 5, 6, 7, 8, 9, 13, 14, 24, 25, 35, 36, 46, 47]","[5, 6, 8, 9, 10, 11, 15, 16, 17, 18, 26, 27, 28, 29, 37, 38, 39, 40, 48, 49, 50, 51]","[1, 12, 23]","[5, 6, 7, 13, 14, 24, 25]","[8, 9, 11, 15, 16, 17, 18, 26, 27, 28, 29]","[7, 34, 45]","[1, 8, 9, 35, 36, 46, 47]","[5, 6, 10, 37, 38, 39, 40, 48, 49, 50, 51]"
ligand-21-p-c-8-int1,"[1, 14, 31, 53, 54]","[6, 7, 8, 10, 15, 16, 17, 32, 33, 34, 48, 51, 55]","[8, 9, 10, 11, 12, 13, 18, 19, 20, 21, 22, 23, 35, 36, 37, 38, 39, 40, 50, 52, 56, 57, 58]","[1, 14, 31]","[6, 7, 8, 15, 16, 17, 32, 33, 34]","[9, 10, 13, 18, 19, 20, 21, 22, 23, 35, 36, 37, 38, 39, 40]","[53, 54]","[10, 48, 51, 55]","[8, 11, 12, 50, 52, 56, 57, 58]"
ligand-22-p-c-9-int1,"[1, 14, 31, 53, 54]","[6, 7, 8, 10, 15, 16, 17, 32, 33, 34, 48, 51, 55]","[8, 9, 10, 11, 12, 13, 18, 19, 20, 21, 22, 23, 35, 36, 37, 38, 39, 40, 50, 52, 56, 57, 58]","[1, 14, 31]","[6, 7, 8, 15, 16, 17, 32, 33, 34]","[9, 10, 13, 18, 19, 20, 21, 22, 23, 35, 36, 37, 38, 39, 40]","[53, 54]","[10, 48, 51, 55]","[8, 11, 12, 50, 52, 56, 57, 58]"
ligand-251-p-o-66-int1,"[2, 4, 29, 35]","[3, 6, 7, 11, 30, 31, 36, 37, 41, 45]","[2, 4, 8, 10, 15, 32, 33, 34, 38, 39, 40, 42, 43, 44, 46, 47]","[2, 29, 35]","[3, 11, 30, 31, 36, 37, 41, 45]","[4, 8, 10, 15, 32, 33, 34, 38, 39, 40, 42, 43, 44, 46, 47]",[4],"[3, 6, 7]","[2, 8]"
ligand-252-p-o-67-int1,"[2, 4, 29, 34]","[3, 6, 7, 11, 30, 35, 39, 43, 47, 51]","[2, 4, 8, 10, 15, 31, 32, 33, 36, 37, 38, 40, 41, 42, 44, 45, 46, 48, 49, 50, 52, 53]","[2, 29, 34]","[3, 11, 30, 35, 39, 43, 47, 51]","[4, 8, 10, 15, 31, 32, 33, 36, 37, 38, 40, 41, 42, 44, 45, 46, 48, 49, 50, 52, 53]",[4],"[3, 6, 7]","[2, 8]"
ligand-3-p-p-2-int1,"[2, 11, 15, 26, 37, 48]","[7, 8, 9, 12, 13, 16, 17, 27, 28, 38, 39, 49, 50]","[2, 10, 11, 14, 18, 19, 20, 21, 29, 30, 31, 32, 40, 41, 42, 43, 51, 52, 53, 54]","[2, 15, 26]","[7, 8, 9, 16, 17, 27, 28]","[10, 11, 14, 18, 19, 20, 21, 29, 30, 31, 32]","[11, 37, 48]","[9, 12, 13, 38, 39, 49, 50]","[2, 10, 14, 40, 41, 42, 43, 51, 52, 53, 54]"
ligand-31-p-p-10-int1,"[6, 9, 12, 31, 35]","[2, 6, 9, 32, 33, 34, 36, 37, 38, 39, 43]","[2, 7, 8, 10, 11, 39, 40, 41, 42, 43, 44, 45, 46, 49]",[9],"[6, 39, 43]","[2, 11, 40, 41, 42, 44, 45, 46]","[6, 12, 31, 35]","[2, 9, 32, 33, 34, 36, 37, 38]","[7, 8, 10, 39, 43, 49]"
ligand-32-p-p-11-int1,"[6, 9, 12, 31, 35]","[2, 6, 9, 32, 33, 34, 36, 37, 38, 39, 43]","[2, 7, 8, 10, 11, 39, 40, 41, 42, 43, 44, 45, 46, 49]",[9],"[6, 39, 43]","[2, 11, 40, 41, 42, 44, 45, 46]","[6, 12, 31, 35]","[2, 9, 32, 33, 34, 36, 37, 38]","[7, 8, 10, 39, 43, 49]"
ligand-35-p-p-14-int1,"[6, 7, 12, 13, 14, 16, 53]","[4, 8, 9, 15, 17, 21, 25, 29, 42, 44, 52, 55]","[5, 6, 14, 18, 19, 20, 22, 23, 24, 26, 27, 28, 30, 34, 38, 43, 47, 52, 54, 58, 59]","[6, 7, 16]","[4, 8, 9, 15, 17, 21, 25, 42, 44]","[5, 14, 18, 19, 20, 22, 23, 24, 26, 27, 28, 43, 47, 52]","[12, 13, 14, 53]","[4, 29, 52, 55]","[5, 6, 30, 34, 38, 54, 58, 59]"
ligand-38-p-o-2-int1,"[2, 4, 19, 29]","[3, 6, 7, 11, 20, 21, 30, 31]","[2, 4, 8, 10, 15, 22, 23, 24, 32, 33, 34, 49, 50]","[2, 19, 29]","[3, 11, 20, 21, 30, 31]","[4, 8, 10, 15, 22, 23, 24, 32, 33, 34, 49, 50]",[4],"[3, 6, 7]","[2, 8]"
ligand-409-p-o-140-int1,"[2, 4, 8, 9]","[3, 6, 7, 13, 16, 20, 25, 29]","[2, 4, 10, 12, 15, 17, 19, 21, 26, 28, 33, 37, 38]","[2, 8, 9]","[3, 13, 16, 20, 25, 29]","[4, 10, 12, 15, 17, 19, 21, 26, 28, 33, 37, 38]",[4],"[3, 6, 7]","[2, 10]"
ligand-41-p-o-5-int1,"[2, 4, 19, 30]","[3, 6, 7, 11, 20, 21, 31, 32]","[2, 4, 8, 10, 15, 22, 23, 24, 25, 33, 34, 35, 40]","[2, 19, 30]","[3, 11, 20, 21, 31, 32]","[4, 8, 10, 15, 22, 23, 24, 25, 33, 34, 35, 40]",[4],"[3, 6, 7]","[2, 8]"
ligand-42-p-p-16-int1,"[1, 7, 12, 22, 32, 42]","[1, 5, 6, 7, 8, 9, 13, 14, 23, 24, 33, 34, 43, 44]","[5, 6, 8, 9, 10, 11, 15, 16, 17, 25, 26, 27, 35, 36, 37, 45, 46, 47, 52, 53, 54, 55]","[1, 12, 22]","[5, 6, 7, 13, 14, 23, 24]","[8, 9, 11, 15, 16, 17, 25, 26, 27, 52, 53]","[7, 32, 42]","[1, 8, 9, 33, 34, 43, 44]","[5, 6, 10, 35, 36, 37, 45, 46, 47, 54, 55]"
ligand-43-p-p-17-int1,"[1, 9, 12, 13, 14]","[2, 10, 11, 14, 15, 25]","[1, 6, 7, 8, 12, 13, 16, 17, 26, 27]","[9, 14]","[2, 11]","[1, 6, 7, 8, 12, 13]","[1, 9, 12, 13]","[2, 10, 14, 15, 25]","[6, 7, 8, 16, 17, 26, 27]"
ligand-431-p-c-29-int1,"[2, 3, 39, 67]","[35, 37, 68, 69, 74]","[33, 34, 40, 41, 70]","[2, 3, 67]","[68, 69, 74]",[70],[39],"[35, 37]","[33, 34, 40, 41]"
ligand-432-p-c-30-int1,"[2, 6, 37, 40, 43, 52]","[3, 5, 8, 14, 36, 39, 41, 44, 45, 53, 54]","[4, 9, 13, 15, 26, 36, 38, 40, 46, 47, 52, 55, 65]","[2, 6, 52]","[3, 5, 8, 14, 41, 53, 54]","[4, 9, 13, 15, 26, 36, 40]","[37, 40, 43]","[36, 39, 41, 44, 45]","[38, 46, 47, 52, 55, 65]"
ligand-44-p-p-18-int1,"[9, 12, 13, 14, 15]","[1, 2, 10, 11, 14, 16, 17]","[6, 7, 8, 12, 13, 15, 52, 69]","[9, 14]","[2, 11]","[6, 7, 8, 12, 13, 15]","[9, 12, 13, 15]","[1, 2, 10, 14, 16, 17]","[6, 7, 8, 52, 69]"
ligand-464-p-o-161-int1,"[3, 4, 40, 50]","[3, 4, 5, 21, 27, 39, 41, 45, 49]","[1, 2, 5, 6, 10, 16, 20, 21, 27, 28, 29, 38, 42, 46, 48, 53, 54, 70, 71]","[4, 40, 50]","[3, 27, 39, 41, 45, 49]","[2, 5, 21, 28, 29, 38, 42, 46, 48, 53, 54, 70, 71]",[3],"[4, 5, 21]","[1, 6, 10, 16, 20, 27]"
ligand-466-p-o-163-int1,"[3, 4, 40, 50]","[3, 4, 5, 21, 27, 39, 41, 45, 49]","[1, 2, 5, 6, 10, 16, 20, 21, 27, 28, 29, 38, 42, 46, 48, 77, 78, 87]","[4, 40, 50]","[3, 27, 39, 41, 45, 49]","[2, 5, 21, 28, 29, 38, 42, 46, 48, 77, 78, 87]",[3],"[4, 5, 21]","[1, 6, 10, 16, 20, 27]"
ligand-467-p-o-164-int1,"[3, 4, 40, 50]","[3, 4, 5, 21, 27, 39, 41, 45, 49]","[1, 2, 5, 6, 10, 16, 20, 21, 27, 28, 29, 38, 42, 46, 48, 77, 78, 79, 80]","[4, 40, 50]","[3, 27, 39, 41, 45, 49]","[2, 5, 21, 28, 29, 38, 42, 46, 48, 77, 78, 79, 80]",[3],"[4, 5, 21]","[1, 6, 10, 16, 20, 27]"
ligand-468-p-o-165-int1,"[1, 2, 3, 4, 5, 9]","[3, 4, 5, 6, 8, 9, 11, 12, 16, 21, 25, 30]","[6, 7, 8, 11, 12, 13, 15, 16, 17, 21, 22, 24, 25, 29, 30, 31, 32, 36, 65]","[2, 4, 5]","[3, 9, 12, 16, 21, 25]","[6, 8, 11, 13, 15, 17, 22, 24, 29, 30, 32, 36]","[1, 3, 9]","[4, 5, 6, 8, 11, 30]","[7, 12, 16, 21, 25, 31, 65]"
ligand-469-p-o-166-int1,"[1, 2, 3, 4, 5, 9]","[3, 4, 5, 6, 8, 9, 11, 12, 16, 21, 25, 30]","[6, 7, 8, 11, 12, 13, 15, 16, 17, 21, 22, 24, 25, 29, 30, 31, 32, 36, 55]","[2, 4, 5]","[3, 9, 12, 16, 21, 25]","[6, 8, 11, 13, 15, 17, 22, 24, 29, 30, 32, 36]","[1, 3, 9]","[4, 5, 6, 8, 11, 30]","[7, 12, 16, 21, 25, 31, 55]"
ligand-47-p-p-21-int1,"[2, 11, 15, 24, 33, 42]","[7, 8, 9, 12, 13, 16, 17, 25, 26, 34, 35, 43, 44]","[2, 10, 11, 14, 18, 19, 20, 27, 28, 29, 36, 37, 38, 45, 46, 47, 51, 52, 53, 54]","[2, 33, 42]","[7, 8, 9, 34, 35, 43, 44]","[10, 11, 14, 36, 37, 38, 45, 46, 47, 53, 54]","[11, 15, 24]","[9, 12, 13, 16, 17, 25, 26]","[2, 10, 14, 18, 19, 20, 27, 28, 29, 51, 52]"
ligand-471-p-o-168-int1,"[1, 2, 3, 7, 38, 55]","[3, 4, 6, 7, 9, 10, 38, 39, 40, 41, 55, 56, 57]","[4, 5, 6, 9, 10, 11, 25, 39, 40, 41, 42, 43, 44, 45, 46, 47, 56, 57, 59, 60, 61, 62, 63, 64]","[2, 38, 55]","[3, 7, 39, 40, 41, 56, 57]","[4, 6, 9, 10, 42, 43, 44, 45, 46, 47, 59, 60, 61, 62, 63, 64]","[1, 3, 7]","[4, 6, 9, 10, 38, 55]","[5, 11, 25, 39, 40, 41, 44, 56, 57, 64]"
ligand-472-p-o-169-int1,"[1, 2, 3, 4, 5, 7]","[3, 4, 5, 6, 7, 8, 9, 13, 18, 22, 27]","[6, 8, 9, 10, 12, 13, 14, 18, 19, 21, 22, 26, 27, 28, 29, 38, 57]","[2, 4, 5]","[3, 7, 9, 13, 18, 22]","[6, 8, 10, 12, 14, 19, 21, 26, 27, 29, 38]","[1, 3, 7]","[4, 5, 6, 8, 27]","[9, 13, 18, 22, 28, 57]"
ligand-473-p-o-170-int1,"[2, 4, 19, 36]","[3, 6, 7, 11, 20, 21, 22, 37, 38]","[2, 4, 8, 10, 15, 23, 24, 25, 26, 27, 28, 39, 40, 41, 42]","[2, 19, 36]","[3, 11, 20, 21, 22, 37, 38]","[4, 8, 10, 15, 23, 24, 25, 26, 27, 28, 39, 40, 41, 42]",[4],"[3, 6, 7]","[2, 8]"
ligand-474-p-c-32-int1,"[2, 3, 4, 18, 43, 70]","[5, 17, 38, 40, 45, 46, 71, 72, 77]","[6, 7, 15, 19, 39, 44, 47, 48, 73]","[2, 3, 70]","[71, 72, 77]",[73],"[4, 18, 43]","[5, 17, 38, 40, 45, 46]","[6, 7, 15, 19, 39, 44, 47, 48]"
ligand-475-p-c-33-int1,"[2, 3, 39, 44, 46, 100]","[37, 40, 43, 47, 101, 102, 107]","[4, 38, 45, 103, 108]","[2, 3, 100]","[101, 102, 107]","[103, 108]","[39, 44, 46]","[37, 40, 43, 47]","[4, 38, 45]"
ligand-476-p-p-31-int1,"[6, 10, 25, 64]","[3, 7, 11, 12, 26, 30, 34, 65, 69, 73]","[2, 4, 9, 13, 14, 15, 23, 24, 27, 28, 29, 31, 32, 33, 35, 36, 37, 66, 67, 68, 70, 71, 72, 74, 75, 76]","[6, 64]","[3, 7, 65, 69, 73]","[2, 4, 9, 24, 66, 67, 68, 70, 71, 72, 74, 75, 76]","[10, 25]","[11, 12, 26, 30, 34]","[13, 14, 15, 23, 27, 28, 29, 31, 32, 33, 35, 36, 37]"
ligand-477-p-p-32-int1,"[6, 10, 35, 52, 69, 86]","[3, 7, 11, 12, 36, 37, 38, 53, 54, 55, 70, 71, 72, 87, 88, 89]","[2, 4, 9, 13, 14, 15, 23, 24, 39, 40, 41, 42, 43, 44, 56, 57, 58, 59, 60, 61, 73, 74, 75, 76, 77, 78, 90, 91, 92, 93, 94, 95]","[6, 69, 86]","[3, 7, 70, 71, 72, 87, 88, 89]","[2, 4, 9, 24, 73, 74, 75, 76, 77, 78, 90, 91, 92, 93, 94, 95]","[10, 35, 52]","[11, 12, 36, 37, 38, 53, 54, 55]","[13, 14, 15, 23, 39, 40, 41, 42, 43, 44, 56, 57, 58, 59, 60, 61]"
ligand-479-p-p-34-int1,"[2, 13, 24, 31, 37, 48]","[3, 4, 14, 15, 25, 26, 30, 32, 38, 39, 49, 50]","[5, 6, 7, 8, 16, 17, 18, 19, 25, 27, 28, 30, 33, 34, 40, 41, 42, 43, 51, 52, 53, 54, 64, 72]","[2, 13, 24]","[3, 4, 14, 15, 25, 26]","[5, 6, 7, 8, 16, 17, 18, 19, 27, 28, 30, 64]","[31, 37, 48]","[30, 32, 38, 39, 49, 50]","[25, 33, 34, 40, 41, 42, 43, 51, 52, 53, 54, 72]"
ligand-48-p-p-22-int1,"[2, 11, 15, 23, 31, 39]","[7, 8, 9, 12, 13, 16, 17, 24, 25, 32, 33, 40, 41]","[2, 10, 11, 14, 18, 19, 20, 26, 27, 28, 34, 35, 36, 42, 43, 44, 47, 48, 49, 50]","[2, 31, 39]","[7, 8, 9, 32, 33, 40, 41]","[10, 11, 14, 34, 35, 36, 42, 43, 44, 49, 50]","[11, 15, 23]","[9, 12, 13, 16, 17, 24, 25]","[2, 10, 14, 18, 19, 20, 26, 27, 28, 47, 48]"
ligand-480-p-p-35-int1,"[6, 10, 25, 52]","[3, 7, 11, 12, 26, 30, 53, 57, 73]","[2, 4, 9, 13, 14, 15, 23, 24, 27, 28, 29, 31, 32, 33, 54, 55, 56, 58, 59, 60]","[6, 52]","[3, 7, 53, 57]","[2, 4, 9, 24, 54, 55, 56, 58, 59, 60]","[10, 25]","[11, 12, 26, 30, 73]","[13, 14, 15, 23, 27, 28, 29, 31, 32, 33]"
ligand-481-p-p-36-int1,"[2, 12, 23, 34, 52, 63]","[1, 3, 13, 14, 24, 25, 33, 36, 53, 54, 64, 65]","[4, 6, 10, 15, 16, 17, 18, 26, 27, 28, 32, 35, 38, 39, 55, 56, 57, 58, 66, 67, 68, 69, 74]","[34, 52, 63]","[33, 36, 53, 54, 64, 65]","[32, 35, 38, 39, 55, 56, 57, 58, 66, 67, 68, 69]","[2, 12, 23]","[1, 3, 13, 14, 24, 25]","[4, 6, 10, 15, 16, 17, 18, 26, 27, 28, 32, 74]"
ligand-482-p-p-37-int1,"[2, 3, 16, 27, 38, 49]","[2, 3, 4, 7, 17, 18, 28, 29, 39, 40, 50, 51]","[1, 4, 5, 6, 7, 9, 14, 15, 19, 20, 21, 22, 30, 31, 32, 33, 41, 42, 43, 44, 52, 53, 54, 55]","[3, 38, 49]","[2, 4, 39, 40, 50, 51]","[1, 5, 7, 14, 41, 42, 43, 44, 52, 53, 54, 55]","[2, 16, 27]","[3, 7, 17, 18, 28, 29]","[4, 6, 9, 15, 19, 20, 21, 22, 30, 31, 32, 33]"
ligand-486-p-p-41-int1,"[2, 3, 16, 29, 31, 35]","[2, 3, 4, 7, 17, 21, 25, 30, 32, 33, 34, 36, 40, 44, 48, 52]","[1, 4, 5, 6, 7, 9, 14, 15, 18, 19, 20, 22, 23, 24, 26, 27, 28, 37, 38, 39, 41, 42, 43, 45, 46, 47, 49, 50, 51, 53, 54, 55]","[3, 16, 29]","[2, 4, 17, 21, 25, 30, 48, 52]","[1, 5, 7, 14, 18, 19, 20, 22, 23, 24, 26, 27, 28, 49, 50, 51, 53, 54, 55]","[2, 31, 35]","[3, 7, 32, 33, 34, 36, 40, 44]","[4, 6, 9, 15, 37, 38, 39, 41, 42, 43, 45, 46, 47]"
ligand-497-p-n-43-int1,"[5, 8, 18, 28, 40]","[5, 6, 9, 10, 19, 20, 28, 29, 41, 42]","[1, 6, 7, 11, 12, 13, 21, 22, 23, 29, 30, 31, 43, 44, 45, 46, 51, 52]","[8, 18, 28]","[5, 9, 10, 19, 20, 29]","[6, 7, 11, 12, 13, 21, 22, 23, 30, 31, 51, 52]","[5, 40]","[6, 28, 41, 42]","[1, 29, 43, 44, 45, 46]"
ligand-498-p-n-44-int1,"[5, 8, 18, 28, 40]","[5, 6, 9, 10, 19, 20, 28, 29, 41, 42]","[1, 6, 7, 11, 12, 13, 21, 22, 23, 29, 30, 31, 43, 44, 49, 50, 59, 69]","[8, 18, 28]","[5, 9, 10, 19, 20, 29]","[6, 7, 11, 12, 13, 21, 22, 23, 30, 31, 49, 50]","[5, 40]","[6, 28, 41, 42]","[1, 29, 43, 44, 59, 69]"
ligand-499-p-n-45-int1,"[5, 8, 17, 26, 38]","[5, 6, 9, 10, 18, 19, 26, 27, 39, 40]","[1, 6, 7, 11, 12, 20, 21, 27, 28, 29, 41, 42, 47, 48, 67, 68, 69, 70]","[8, 17, 26]","[5, 9, 10, 18, 19, 27]","[6, 7, 11, 12, 20, 21, 28, 29, 47, 48, 69, 70]","[5, 38]","[6, 26, 39, 40]","[1, 27, 41, 42, 67, 68]"
ligand-500-p-o-171-int1,"[2, 4, 29, 40]","[3, 5, 7, 11, 30, 31, 41, 42]","[2, 4, 8, 10, 15, 32, 33, 34, 35, 43, 44, 45, 50]",[4],"[3, 5, 7]","[2, 8]","[2, 29, 40]","[3, 11, 30, 31, 41, 42]","[4, 8, 10, 15, 32, 33, 34, 35, 43, 44, 45, 50]"
ligand-501-p-o-172-int1,"[2, 4, 19, 28]","[3, 5, 7, 11, 20, 21, 29, 30]","[2, 4, 8, 10, 15, 22, 23, 31, 32, 47, 48, 57, 58]",[4],"[3, 5, 7]","[2, 8]","[2, 19, 28]","[3, 11, 20, 21, 29, 30]","[4, 8, 10, 15, 22, 23, 31, 32, 47, 48, 57, 58]"
ligand-502-p-o-173-int1,"[2, 4, 29, 46]","[3, 5, 7, 11, 30, 31, 32, 47, 48]","[2, 4, 8, 10, 15, 33, 34, 35, 36, 37, 38, 49, 50, 51, 52]",[4],"[3, 5, 7]","[2, 8]","[2, 29, 46]","[3, 11, 30, 31, 32, 47, 48]","[4, 8, 10, 15, 33, 34, 35, 36, 37, 38, 49, 50, 51, 52]"
ligand-503-p-o-174-int1,"[2, 4, 19, 29]","[3, 5, 7, 11, 20, 21, 30, 31]","[2, 4, 8, 10, 15, 22, 23, 24, 25, 32, 33, 34, 48]",[4],"[3, 5, 7]","[2, 8]","[2, 19, 29]","[3, 11, 20, 21, 30, 31]","[4, 8, 10, 15, 22, 23, 24, 25, 32, 33, 34, 48]"
ligand-504-p-o-175-int1,"[2, 4, 29, 36]","[3, 5, 7, 11, 30, 31, 32, 37, 38, 39]","[2, 4, 8, 10, 15, 33, 34, 35, 40, 41]",[4],"[3, 5, 7]","[2, 8]","[2, 29, 36]","[3, 11, 30, 31, 32, 37, 38, 39]","[4, 8, 10, 15, 33, 34, 35, 40, 41]"
ligand-508-p-p-43-int1,"[2, 3, 16, 26, 36, 56]","[2, 3, 4, 7, 17, 18, 27, 28, 37, 38, 57]","[1, 4, 5, 6, 7, 9, 14, 15, 19, 20, 21, 29, 30, 31, 39, 40, 41, 46, 47, 58, 67, 92]","[2, 16, 56]","[3, 7, 17, 18, 57]","[4, 6, 9, 15, 19, 20, 21, 58, 67, 92]","[3, 26, 36]","[2, 4, 27, 28, 37, 38]","[1, 5, 7, 14, 29, 30, 31, 39, 40, 41, 46, 47]"
