Simple_Name,PC1,PC2,PC3,min_dist_to_lit
41-p-o-5,5.09102949217801,-3.6080986266799973,-3.770842843883327,0.0
127-p-p-26,-3.5493091499208003,-0.2878733618283701,0.2929523414038904,0.35388262653357383
473-p-o-170,8.243118901898345,-0.1930390875153929,-3.074695529339595,0.5069181939699855
44-p-p-18,-3.9623962597796125,-0.43404846259599883,-0.9037954743233575,0.5785722532808704
481-p-p-36,-4.230259160585606,0.49938521382878276,-0.5264331087063765,0.6020234879405428
2-p-p-1,-3.7127699630854516,0.010500048160493379,-0.8746296173322348,0.613379804091329
48-p-p-22,-4.410713995492496,-0.5244122829580428,-0.2442350552665741,0.6576400727414804
431-p-c-29,-3.1984175026896793,-0.05285710993338604,0.7413845932698401,0.6941710383343723
477-p-p-32,-4.149562174831364,-0.7171309246735393,-1.5698866733142904,0.7578910658169568
47-p-p-21,-4.387944560334889,0.5631925858881597,-0.323324791080681,0.8161323993157651
22-p-c-9,-3.408934537121782,-0.03768657408144483,-0.37786830479435635,0.8850389608557808
58-p-c-23,-3.7199397503591856,-0.5159930042949858,1.7262628739309975,0.8871816070004189
13-p-p-5,-4.700027013967017,0.11203663135834034,0.0475393710603255,0.8964433995896074
126-p-p-25,-3.3864221948099584,0.3750879598681004,-1.1141602600935712,0.9129549400367294
35-p-p-14,-3.4413072550044546,0.5750819913990397,-1.2319449042514579,0.9361128913483887
21-p-c-8,-3.2670937292739453,-0.02113418231510756,-0.44332180604865573,0.9493243290828857
478-p-p-33,-4.589273595930902,0.0018893540865621203,-2.0851752020565533,0.9986195115151465
19-p-c-6,-3.1712195525722158,-0.5020376017034776,-0.6673750292668593,1.0055040227475103
474-p-c-32,-3.6390852267915657,0.529808243833651,-0.2925352783014867,1.039822757125275
482-p-p-37,-3.4662810421161234,0.9471333201014874,-1.1730730449307667,1.0925662216467518
432-p-c-30,-3.189653649230254,-0.05504576877753769,-1.0970269583839185,1.1151797771720593
18-p-c-5,-3.8505081966398094,-1.1761115938170843,-0.9130781039473576,1.16042203090255
42-p-p-16,-3.996251343960915,-1.7218362207442093,0.09856282222144157,1.1691352878463264
43-p-p-17,-5.948611781916469,-3.7999211523283014,0.48419217237245876,1.1947378560473074
480-p-p-35,-3.686170598638766,0.6770772616849737,-3.2254096700843498,1.233723135994152
32-p-p-11,-4.681024055059588,-0.46550107301648713,-2.3200981109666956,1.2603336948053123
486-p-p-41,-3.6376548038157237,-0.11557863388288225,-3.259681196696648,1.286752506732553
57-p-c-22,-4.053383552514046,-3.5871911205012355,3.2821699733772,1.2881651079138936
31-p-p-10,-4.1173748382075495,-0.1650723963274689,-2.865396920072522,1.2935598051473676
3-p-p-2,-4.487537177336339,0.2709133093628418,0.43091449941861126,1.2977130809864708
55-p-c-20,-3.2903006135198853,0.840811616611888,0.4052186526903626,1.4259865460518415
15-p-c-2,-2.8412548846708705,0.9911404126711728,0.8235219848487547,1.567365489669698
59-p-c-24,-3.830681566603128,-3.7982478505421815,3.3227183629943102,1.5712413930242972
14-p-c-1,-2.6033785188263217,1.2348915319941793,1.0044670439153867,1.6087669610625375
475-p-c-33,-4.730924870466936,-1.9457332067663287,-1.2836706271649756,1.793413430665593
409-p-o-140,5.663942405850244,-2.7554241814229923,-0.8794767177179523,1.9111640431544348
53-p-c-18,-3.1915112173599622,1.6463193044734137,0.9300484680861961,2.2270862803660294
11-c-n-7,-1.0855297268272763,1.5504440008899563,0.45279175715481007,2.290656458559194
124-c-o-3,0.4543143317262523,0.5167116532370176,0.8124551395869193,2.748176961226644
16-p-c-3,-2.572178838020731,2.5815365329917856,1.1684444043882967,2.8484626808425015
476-p-p-31,-3.464413200845155,-0.9542803457020648,-5.235662878237416,3.3567809846077363
