Filename,Ni_atom_label,Ligand_atom_1_label,Ligand_atom_2_label,Atoms_distance_2,Atoms_distance_3,Atoms_distance_4,Atoms_distance_2_a,Atoms_distance_3_a,Atoms_distance_4_a,Atoms_distance_2_b,Atoms_distance_3_b,Atoms_distance_4_b,Atoms_to_exclude
ligand-268-p-o-77-int1,43,1,4,"[2, 13, 53, 64]","[3, 8, 17, 18, 54, 55, 65, 66]","[2, 5, 7, 12, 13, 19, 23, 27, 31, 35, 39, 56, 57, 58, 59, 67, 68, 69, 70]","[2, 53, 64]","[3, 8, 54, 55, 65, 66]","[5, 7, 12, 13, 56, 57, 58, 59, 67, 68, 69, 70]",[13],"[3, 17, 18]","[2, 5, 19, 23, 27, 31, 35, 39]","[14, 15, 16, 44, 45, 46, 51, 52, 47, 48, 49, 50]"
ligand-269-p-o-78-int1,73,1,4,"[2, 13, 43, 53]","[3, 8, 17, 18, 44, 45, 54, 55]","[2, 5, 7, 12, 13, 19, 23, 27, 31, 35, 39, 46, 47, 48, 56, 57, 58, 63, 64]","[2, 43, 53]","[3, 8, 44, 45, 54, 55]","[5, 7, 12, 13, 46, 47, 48, 56, 57, 58, 63, 64]",[13],"[3, 17, 18]","[2, 5, 19, 23, 27, 31, 35, 39]","[14, 15, 16, 74, 75, 76, 81, 82, 77, 78, 79, 80]"
ligand-270-p-o-79-int1,43,1,4,"[2, 13, 53, 63]","[3, 8, 17, 18, 54, 55, 64, 65]","[2, 5, 7, 12, 13, 19, 23, 27, 31, 35, 39, 56, 57, 58, 66, 67, 68, 73, 74]","[2, 53, 63]","[3, 8, 54, 55, 64, 65]","[5, 7, 12, 13, 56, 57, 58, 66, 67, 68, 73, 74]",[13],"[3, 17, 18]","[2, 5, 19, 23, 27, 31, 35, 39]","[14, 15, 16, 44, 45, 46, 51, 52, 47, 48, 49, 50]"
ligand-272-p-o-81-int1,17,1,4,"[2, 13, 27, 37]","[3, 8, 28, 29, 38, 39, 55, 59]","[2, 5, 7, 12, 13, 30, 31, 32, 40, 41, 42, 47, 48, 56, 57, 58, 60, 61]","[2, 27, 37]","[3, 8, 28, 29, 38, 39]","[5, 7, 12, 13, 30, 31, 32, 40, 41, 42, 47, 48]",[13],"[3, 55, 59]","[2, 5, 56, 57, 58, 60, 61]","[14, 15, 16, 18, 19, 20, 25, 26, 21, 22, 23, 24]"
ligand-279-p-o-86-int1,81,1,2,"[3, 29, 39, 49]","[7, 18, 30, 31, 40, 41, 50, 51]","[3, 8, 9, 19, 20, 32, 33, 34, 42, 43, 44, 49, 52, 53, 62, 64]","[29, 39, 49]","[30, 31, 40, 41, 50, 51]","[3, 32, 33, 34, 42, 43, 44, 52, 53, 62, 64]",[3],"[7, 18, 50]","[8, 9, 19, 20, 49, 64]","[4, 5, 6, 72, 73, 74, 79, 80, 75, 76, 77, 78]"
ligand-281-p-o-88-int1,82,1,2,"[3, 29, 41, 52]","[7, 18, 30, 31, 42, 43, 53, 54]","[3, 8, 9, 19, 20, 29, 32, 34, 44, 45, 46, 47, 55, 56, 57, 62]","[29, 41, 52]","[30, 31, 42, 43, 53, 54]","[3, 32, 34, 44, 45, 46, 47, 55, 56, 57, 62]",[3],"[7, 18, 30]","[8, 9, 19, 20, 29, 34]","[4, 5, 6, 83, 84, 85, 90, 86, 87, 88, 89, 91]"
ligand-294-p-o-106-int1,81,1,4,"[2, 12, 18, 27]","[3, 8, 16, 17, 19, 20, 28, 29]","[2, 5, 7, 11, 12, 21, 22, 30, 31, 36, 37, 46, 50, 54, 58, 62, 63]","[2, 18, 27]","[3, 8, 19, 20, 28, 29]","[5, 7, 11, 12, 21, 22, 30, 31, 36, 37, 62, 63]",[12],"[3, 16, 17]","[2, 5, 46, 50, 54, 58]","[13, 14, 15, 82, 83, 84, 89, 90, 85, 86, 87, 88]"
ligand-305-p-o-117-int1,85,1,5,"[2, 4, 22, 26]","[3, 6, 10, 18, 21, 23, 27, 36]","[2, 4, 7, 9, 14, 19, 20, 24, 25, 28, 29, 37, 38]","[2, 22, 26]","[3, 10, 18, 23, 27, 36]","[4, 7, 9, 14, 19, 20, 24, 25, 28, 29, 37, 38]",[4],"[3, 6, 21]","[2, 7]","[15, 16, 17, 86, 87, 88, 93, 94, 89, 91, 90, 92]"
ligand-309-n-n-27-int1,82,4,3,"[1, 2, 5, 34]","[1, 2, 6, 7, 35, 36, 66, 69]","[3, 4, 8, 9, 14, 24, 37, 38, 43, 53, 66, 67, 68, 69, 73]","[2, 34]","[1, 35, 36, 66]","[3, 37, 38, 43, 53, 67, 68, 69]","[1, 5]","[2, 6, 7, 69]","[4, 8, 9, 14, 24, 66, 67, 73]","[91, 90, 83, 84, 85, 63, 64, 65, 86, 87, 88, 89]"
ligand-310-p-o-119-int1,89,1,5,"[2, 4, 17, 32]","[3, 6, 7, 11, 18, 19, 20, 33, 34, 35]","[2, 4, 8, 10, 13, 21, 22, 23, 24, 25, 36, 37, 38, 39, 40, 51, 65]","[2, 17, 32]","[3, 11, 18, 19, 20, 33, 34, 35]","[4, 8, 10, 13, 21, 22, 23, 24, 25, 36, 37, 38, 39, 40, 51, 65]",[4],"[3, 6, 7]","[2, 8]","[14, 15, 16, 90, 91, 92, 97, 98, 93, 94, 95, 96]"
