lig_node,rxn_node,common_neighbor,jaccard_coefficient,preferential_attachment,common_neighbor_cluster,number of lig in cluster,jaccard_coefficient_cluster,degree_lig_cluster,degree_rxn,preferential_attachment_cluster
328,CO_nonalt-ethylene,0,0.0,0,6,2,3.0,51,5,255
353,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
022,CO_nonalt-ethylene,0,0.0,0,3,2,1.5,46,5,230
273,CO_nonalt-ethylene,6,0.3,19,6,2,3.0,51,5,255
211,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
302,CO_nonalt-ethylene,6,0.3,19,2,2,1.0,44,5,220
099,CO_nonalt-ethylene,7,0.2692307692307692,133,5,2,2.5,53,5,265
153,CO_nonalt-ethylene,0,0.0,0,5,2,2.5,27,5,135
014,CO_nonalt-ethylene,0,0.0,19,6,2,3.0,51,5,255
401,CO_nonalt-ethylene,9,0.391304347826087,76,3,2,1.5,46,5,230
418,CO_nonalt-ethylene,0,0.0,19,3,2,1.5,46,5,230
223,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
198,CO_nonalt-ethylene,2,0.09090909090909091,57,5,2,2.5,27,5,135
259,CO_nonalt-ethylene,7,0.3333333333333333,38,5,2,2.5,53,5,265
030,CO_nonalt-ethylene,0,0.0,0,2,2,1.0,44,5,220
415,CO_nonalt-ethylene,0,0.0,19,2,2,1.0,44,5,220
131,CO_nonalt-ethylene,6,0.2727272727272727,57,6,2,3.0,51,5,255
085,CO_nonalt-ethylene,6,0.2608695652173913,76,3,2,1.5,46,5,230
232,CO_nonalt-ethylene,6,0.3,19,2,2,1.0,44,5,220
230,CO_nonalt-ethylene,6,0.2857142857142857,38,5,2,2.5,53,5,265
106,CO_nonalt-ethylene,5,0.25,19,5,2,2.5,27,5,135
167,CO_nonalt-ethylene,6,0.3,19,3,2,1.5,46,5,230
235,CO_nonalt-ethylene,0,0.0,0,2,2,1.0,44,5,220
290,CO_nonalt-ethylene,8,0.36363636363636365,57,6,2,3.0,51,5,255
179,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
178,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
306,CO_nonalt-ethylene,6,0.3,19,3,2,1.5,46,5,230
055,CO_nonalt-ethylene,0,0.0,19,2,2,1.0,44,5,220
149,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
433,CO_nonalt-ethylene,0,0.0,19,5,2,2.5,27,5,135
426,CO_nonalt-ethylene,0,0.0,0,5,2,2.5,27,5,135
410,CO_nonalt-ethylene,0,0.0,19,6,2,3.0,51,5,255
362,CO_nonalt-ethylene,8,0.34782608695652173,76,3,2,1.5,46,5,230
262,CO_nonalt-ethylene,6,0.3,19,6,2,3.0,51,5,255
443,CO_nonalt-ethylene,9,0.4090909090909091,57,5,2,2.5,53,5,265
298,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,27,5,135
340,CO_nonalt-ethylene,6,0.3,19,2,2,1.0,44,5,220
393,CO_nonalt-ethylene,6,0.3,19,2,2,1.0,44,5,220
268,CO_nonalt-ethylene,6,0.3,19,6,2,3.0,51,5,255
216,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
009,CO_nonalt-ethylene,0,0.0,19,6,2,3.0,51,5,255
402,CO_nonalt-ethylene,9,0.391304347826087,76,3,2,1.5,46,5,230
285,CO_nonalt-ethylene,8,0.38095238095238093,38,2,2,1.0,44,5,220
213,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
316,CO_nonalt-ethylene,3,0.15,19,2,2,1.0,44,5,220
164,CO_nonalt-ethylene,6,0.2857142857142857,38,3,2,1.5,46,5,230
363,CO_nonalt-ethylene,8,0.38095238095238093,38,3,2,1.5,46,5,230
368,CO_nonalt-ethylene,0,0.0,38,6,2,3.0,51,5,255
429,CO_nonalt-ethylene,0,0.0,0,3,2,1.5,46,5,230
201,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
158,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,27,5,135
279,CO_nonalt-ethylene,9,0.34615384615384615,133,2,2,1.0,44,5,220
421,CO_nonalt-ethylene,0,0.0,38,2,2,1.0,44,5,220
416,CO_nonalt-ethylene,0,0.0,19,2,2,1.0,44,5,220
033,CO_nonalt-ethylene,0,0.0,19,6,2,3.0,51,5,255
148,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,27,5,135
336,CO_nonalt-ethylene,8,0.38095238095238093,38,3,2,1.5,46,5,230
432,CO_nonalt-ethylene,0,0.0,0,3,2,1.5,46,5,230
054,CO_nonalt-ethylene,0,0.0,19,3,2,1.5,46,5,230
048,CO_nonalt-ethylene,0,0.0,19,6,2,3.0,51,5,255
330,CO_nonalt-ethylene,6,0.2857142857142857,38,3,2,1.5,46,5,230
193,CO_nonalt-ethylene,0,0.0,19,5,2,2.5,27,5,135
058,CO_nonalt-ethylene,0,0.0,19,3,2,1.5,46,5,230
142,CO_nonalt-ethylene,5,0.25,19,6,2,3.0,51,5,255
181,CO_nonalt-ethylene,0,0.0,0,5,2,2.5,53,5,265
