lig_node,rxn_node,common_neighbor,jaccard_coefficient,preferential_attachment,common_neighbor_cluster,number of lig in cluster,jaccard_coefficient_cluster,degree_lig_cluster,degree_rxn,preferential_attachment_cluster
379,CO_nonalt-ethylene,8,0.38095238095238093,38,3,2,1.5,46,5,230
032,CO_nonalt-ethylene,6,0.2857142857142857,38,2,2,1.0,44,5,220
381,CO_nonalt-ethylene,5,0.25,19,3,2,1.5,46,5,230
453,CO_nonalt-ethylene,6,0.3,19,3,2,1.5,46,5,230
077,CO_nonalt-ethylene,0,0.0,0,5,2,2.5,53,5,265
277,CO_nonalt-ethylene,6,0.3,19,6,2,3.0,51,5,255
081,CO_nonalt-ethylene,8,0.36363636363636365,57,6,2,3.0,51,5,255
341,CO_nonalt-ethylene,8,0.38095238095238093,38,3,2,1.5,46,5,230
346,CO_nonalt-ethylene,0,0.0,0,3,2,1.5,46,5,230
233,CO_nonalt-ethylene,6,0.3,19,6,2,3.0,51,5,255
275,CO_nonalt-ethylene,6,0.3,19,3,2,1.5,46,5,230
093,CO_nonalt-ethylene,6,0.3,19,6,2,3.0,51,5,255
240,CO_nonalt-ethylene,0,0.0,114,5,2,2.5,53,5,265
392,CO_nonalt-ethylene,0,0.0,0,2,2,1.0,44,5,220
094,CO_nonalt-ethylene,0,0.0,19,2,2,1.0,44,5,220
214,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
053,CO_nonalt-ethylene,0,0.0,0,6,2,3.0,51,5,255
399,CO_nonalt-ethylene,6,0.3,19,3,2,1.5,46,5,230
383,CO_nonalt-ethylene,6,0.3,19,3,2,1.5,46,5,230
257,CO_nonalt-ethylene,7,0.3333333333333333,38,5,2,2.5,53,5,265
454,CO_nonalt-ethylene,6,0.3,19,2,2,1.0,44,5,220
080,CO_nonalt-ethylene,8,0.36363636363636365,57,6,2,3.0,51,5,255
313,CO_nonalt-ethylene,0,0.0,0,3,2,1.5,46,5,230
439,CO_nonalt-ethylene,8,0.38095238095238093,38,5,2,2.5,27,5,135
382,CO_nonalt-ethylene,5,0.25,19,3,2,1.5,46,5,230
204,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,27,5,135
442,CO_nonalt-ethylene,10,0.43478260869565216,76,6,2,3.0,51,5,255
321,CO_nonalt-ethylene,2,0.1,19,2,2,1.0,44,5,220
207,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
219,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
253,CO_nonalt-ethylene,7,0.3333333333333333,38,2,2,1.0,44,5,220
003,CO_nonalt-ethylene,0,0.0,0,6,2,3.0,51,5,255
096,CO_nonalt-ethylene,6,0.25,95,3,2,1.5,46,5,230
333,CO_nonalt-ethylene,0,0.0,0,3,2,1.5,46,5,230
245,CO_nonalt-ethylene,6,0.2608695652173913,76,6,2,3.0,51,5,255
004,CO_nonalt-ethylene,0,0.0,19,6,2,3.0,51,5,255
206,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,27,5,135
274,CO_nonalt-ethylene,6,0.3,19,2,2,1.0,44,5,220
237,CO_nonalt-ethylene,0,0.0,0,5,2,2.5,53,5,265
130,CO_nonalt-ethylene,0,0.0,0,2,2,1.0,44,5,220
208,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
118,CO_nonalt-ethylene,0,0.0,0,3,2,1.5,46,5,230
114,CO_nonalt-ethylene,6,0.3,19,3,2,1.5,46,5,230
016,CO_nonalt-ethylene,0,0.0,19,6,2,3.0,51,5,255
197,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,27,5,135
431,CO_nonalt-ethylene,0,0.0,19,3,2,1.5,46,5,230
210,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
218,CO_nonalt-ethylene,6,0.2608695652173913,76,5,2,2.5,53,5,265
284,CO_nonalt-ethylene,6,0.3,19,2,2,1.0,44,5,220
380,CO_nonalt-ethylene,8,0.38095238095238093,38,3,2,1.5,46,5,230
389,CO_nonalt-ethylene,6,0.3,19,2,2,1.0,44,5,220
152,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,27,5,135
296,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
138,CO_nonalt-ethylene,8,0.38095238095238093,38,6,2,3.0,51,5,255
249,CO_nonalt-ethylene,6,0.3,19,6,2,3.0,51,5,255
103,CO_nonalt-ethylene,8,0.38095238095238093,38,5,2,2.5,27,5,135
195,CO_nonalt-ethylene,0,0.0,19,6,2,3.0,51,5,255
110,CO_nonalt-ethylene,6,0.3,19,2,2,1.0,44,5,220
229,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
076,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
435,CO_nonalt-ethylene,0,0.0,19,2,2,1.0,44,5,220
447,CO_nonalt-ethylene,8,0.38095238095238093,38,6,2,3.0,51,5,255
234,CO_nonalt-ethylene,6,0.3,19,6,2,3.0,51,5,255
194,CO_nonalt-ethylene,0,0.0,19,5,2,2.5,27,5,135
304,CO_nonalt-ethylene,6,0.3,19,3,2,1.5,46,5,230
