d_node,t_node,common_neighbor,jaccard_coefficient,preferential_attachment,common_neighbor_cluster,number of d in cluster,jaccard_coefficient_cluster,degree_d_cluster,degree_t,preferential_attachment_cluster
284,ethylene-vinyl chloride,4,0.8,4,0,2,0.0,44,4,176
178,ethylene-vinyl chloride,4,0.8,4,2,2,1.0,53,4,212
191,ethylene-vinyl chloride,0,0.0,4,1,2,0.5,27,4,108
182,ethylene-vinyl chloride,4,0.8,4,2,2,1.0,53,4,212
441,ethylene-vinyl chloride,6,0.8571428571428571,12,1,2,0.5,51,4,204
219,ethylene-vinyl chloride,4,0.8,4,2,2,1.0,53,4,212
013,ethylene-vinyl chloride,0,0.0,8,1,2,0.5,51,4,204
258,ethylene-vinyl chloride,7,0.5833333333333334,32,1,2,0.5,27,4,108
155,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,27,4,108
344,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,46,4,184
206,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,27,4,108
313,ethylene-vinyl chloride,0,0.0,0,1,2,0.5,46,4,184
033,ethylene-vinyl chloride,0,0.0,4,1,2,0.5,51,4,204
203,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,27,4,108
315,ethylene-vinyl chloride,9,0.5294117647058824,52,0,2,0.0,44,4,176
121,ethylene-vinyl chloride,4,0.8,4,2,2,1.0,53,4,212
072,ethylene-vinyl chloride,0,0.0,0,2,2,1.0,53,4,212
030,ethylene-vinyl chloride,0,0.0,0,0,2,0.0,44,4,176
224,ethylene-vinyl chloride,4,0.8,4,2,2,1.0,53,4,212
226,ethylene-vinyl chloride,0,0.0,0,2,2,1.0,53,4,212
436,ethylene-vinyl chloride,0,0.0,4,0,2,0.0,44,4,176
081,ethylene-vinyl chloride,5,0.7142857142857143,12,1,2,0.5,51,4,204
336,ethylene-vinyl chloride,5,0.8333333333333334,8,1,2,0.5,46,4,184
058,ethylene-vinyl chloride,0,0.0,4,1,2,0.5,46,4,184
120,ethylene-vinyl chloride,4,0.8,4,1,2,0.5,51,4,204
