lig_id,ligand_name,exp_id,ref,substrate_comb,metal,substrate_1,substrate_2,solvent,temperature,"substrate_1_amount (gas: bar, liqu: mmol, solid: g)",substrate_2_amount,base,base_equiv_to_cat,additive,additive_equiv,substrate_ratio,volume_ml,activity_kg_mol,yield,mn,time_hr,incorporatio_ratio,ton
7,c-n-3,33,"Catalysts 2020, 10, 758",CO2Ethylene,Ni,CO2,ethylene,PhCl,60,5,25,tmeda,500,"Zn, LiI","500, 250",0.2,2,,0,,12,,
7,c-n-3,34,"Catalysts 2020, 10, 758",CO2Ethylene,Ni,CO2,ethylene,PhCl,60,5,25,tbuoK,500,"Zn, LiI","500, 250",0.2,2,,0,,12,,
7,c-n-3,35,"Catalysts 2020, 10, 758",CO2Ethylene,Ni,CO2,ethylene,PhCl,60,5,25,NEt3,500,"Zn, NaI","500, 250",0.2,2,,0,,12,,
7,c-n-3,36,"Catalysts 2020, 10, 758",CO2Ethylene,Ni,CO2,ethylene,toluene,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,54,,12,,
7,c-n-3,37,"Catalysts 2020, 10, 758",CO2Ethylene,Ni,CO2,ethylene,anisole,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,416,,12,,
7,c-n-3,38,"Catalysts 2020, 10, 758",CO2Ethylene,Ni,CO2,ethylene,benzene,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,85,,12,,
7,c-n-3,39,"Catalysts 2020, 10, 758",CO2Ethylene,Ni,CO2,ethylene,2-Cl-tol,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,799,,12,,
7,c-n-3,40,"Catalysts 2020, 10, 758",CO2Ethylene,Ni,CO2,ethylene,thf,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,0,,12,,
7,c-n-3,41,"Catalysts 2020, 10, 758",CO2Ethylene,Ni,CO2,ethylene,dcm,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,0,,12,,
7,c-n-3,42,"Catalysts 2020, 10, 758",CO2Ethylene,Ni,CO2,ethylene,dmf,60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,0,,12,,
7,c-n-3,43,"Catalysts 2020, 10, 758",CO2Ethylene,Ni,CO2,ethylene,"1,4-dioxane",60,5,25,NEt3,500,"Zn, LiI","500, 250",0.2,2,,0,,12,,
14,p-c-1,44,"Chem. Eur. J. 2019, 25, 13504 – 13508",CO2Ethylene,Ni,CO2,ethylene,THF,100,3,3,"Na(2,4,6-trimethylphenoxide)",300,,,1,2,,,,8,,6.9
14,p-c-1,45,"Chem. Eur. J. 2019, 25, 13504 – 13508",CO2Ethylene,Ni,CO2,ethylene,THF,120,3,3,"Na(2,4,6-trimethylphenoxide)",300,,,1,2,,,,8,,34
14,p-c-1,46,"Chem. Eur. J. 2019, 25, 13504 – 13508",CO2Ethylene,Ni,CO2,ethylene,THF,145,3,3,"Na(2,4,6-trimethylphenoxide)",300,,,1,2,,,,8,,58
14,p-c-1,47,"Chem. Eur. J. 2019, 25, 13504 – 13508",CO2Ethylene,Ni,CO2,ethylene,THF,145,3,3,"Na(2,4,6-trimethylphenoxide)",300,Zn,100,1,2,,,,8,,73
14,p-c-1,48,"Chem. Eur. J. 2019, 25, 13504 – 13508",CO2Ethylene,Ni,CO2,ethylene,THF,145,3,3,"Na(2,4,6-trimethylphenoxide)",300,AcONa,100,1,2,,,,8,,94
14,p-c-1,49,"Chem. Eur. J. 2019, 25, 13504 – 13508",CO2Ethylene,Ni,CO2,ethylene,THF,145,3,3,"Na(2,4,6-trimethylphenoxide)",300,PhCOONa,100,1,2,,,,8,,12
14,p-c-1,50,"Chem. Eur. J. 2019, 25, 13504 – 13508",CO2Ethylene,Ni,CO2,ethylene,THF,145,3,3,"Na(2,4,6-trimethylphenoxide)",300,CF3COONa,100,1,2,,,,8,,31
14,p-c-1,51,"Chem. Eur. J. 2019, 25, 13504 – 13508",CO2Ethylene,Ni,CO2,ethylene,THF,145,3,3,"Na(2,4,6-trimethylphenoxide)",300,HCOONa,100,1,2,,,,8,,6.1
15,p-c-2,52,"Chem. Eur. J. 2019, 25, 13504 – 13508",CO2Ethylene,Ni,CO2,ethylene,THF,145,3,3,"Na(2,4,6-trimethylphenoxide)",300,AcONa,100,1,2,,,,8,,2.3
16,p-c-3,53,"Chem. Eur. J. 2019, 25, 13504 – 13508",CO2Ethylene,Ni,CO2,ethylene,THF,145,3,3,"Na(2,4,6-trimethylphenoxide)",300,AcONa,100,1,2,,,,8,,3.2
17,p-c-4,54,"Chem. Eur. J. 2019, 25, 13504 – 13508",CO2Ethylene,Ni,CO2,ethylene,THF,145,3,3,"Na(2,4,6-trimethylphenoxide)",300,AcONa,100,1,2,,,,8,,140
12,p-p-4,55,"Chem. Eur. J. 2019, 25, 13504 – 13508",CO2Ethylene,Ni,CO2,ethylene,THF,145,3,3,"Na(2,4,6-trimethylphenoxide)",300,AcONa,100,1,2,,,,8,,85
71,n-n-2,56,"Chem. Eur. J. 2019, 25, 13504 – 13508",CO2Ethylene,Ni,CO2,ethylene,THF,145,3,3,"Na(2,4,6-trimethylphenoxide)",300,AcONa,100,1,2,,,,8,,0
27,p-p-6,57,"Chem. Eur. J.2014,20, 16858 – 16862",CO2Ethylene,Ni,CO2,ethylene,THF,80,10,5,NaO-3-F-C6H4,50,,,2,30,,,,20,,9
28,p-p-7,58,"Chem. Eur. J.2014,20, 16858 – 16862",CO2Ethylene,Ni,CO2,ethylene,THF,80,10,5,NaO-3-F-C6H4,50,,,2,30,,,,20,,10
29,p-p-8,59,"Chem. Eur. J.2014,20, 16858 – 16862",CO2Ethylene,Ni,CO2,ethylene,THF,80,10,5,NaO-3-F-C6H4,50,,,2,30,,,,20,,14
30,p-p-9,60,"Chem. Eur. J.2014,20, 16858 – 16862",CO2Ethylene,Ni,CO2,ethylene,THF,80,10,5,NaO-3-F-C6H4,50,,,2,30,,,,20,,4
31,p-p-10,61,"Chem. Eur. J.2014,20, 16858 – 16862",CO2Ethylene,Ni,CO2,ethylene,THF,80,10,5,NaO-3-F-C6H4,50,,,2,30,,,,20,,6
32,p-p-11,62,"Chem. Eur. J.2014,20, 16858 – 16862",CO2Ethylene,Ni,CO2,ethylene,THF,80,10,5,NaO-3-F-C6H4,50,,,2,30,,,,20,,5
33,p-p-12,63,"Chem. Eur. J.2014,20, 16858 – 16862",CO2Ethylene,Ni,CO2,ethylene,THF,80,10,5,NaO-3-F-C6H4,50,,,2,30,,,,20,,2
34,p-p-13,64,"Chem. Eur. J.2014,20, 16858 – 16862",CO2Ethylene,Ni,CO2,ethylene,THF,80,10,5,NaO-3-F-C6H4,50,,,2,30,,,,20,,2
35,p-p-14,65,"Chem. Eur. J.2014,20, 16858 – 16862",CO2Ethylene,Ni,CO2,ethylene,THF,80,10,5,NaO-3-F-C6H4,50,,,2,30,,,,20,,16
36,p-p-15,66,"Chem. Eur. J.2014,20, 16858 – 16862",CO2Ethylene,Ni,CO2,ethylene,THF,80,10,5,NaO-3-F-C6H4,50,,,2,30,,,,20,,10
36,p-p-15,67,"Chem. Eur. J.2014,20, 16858 – 16862",CO2Ethylene,Ni,CO2,ethylene,DMF,80,10,5,NaO-3-F-C6H4,50,,,2,30,,,,20,,2
36,p-p-15,68,"Chem. Eur. J.2014,20, 16858 – 16862",CO2Ethylene,Ni,CO2,ethylene,PhCl,80,10,5,NaO-3-F-C6H4,50,,,2,30,,,,20,,10
36,p-p-15,69,"Chem. Eur. J.2014,20, 16858 – 16862",CO2Ethylene,Ni,CO2,ethylene,dioxane,80,10,5,NaO-3-F-C6H4,50,,,2,30,,,,20,,13
36,p-p-15,70,"Chem. Eur. J.2014,20, 16858 – 16862",CO2Ethylene,Ni,CO2,ethylene,toluene,80,10,5,NaO-3-F-C6H4,50,,,2,30,,,,20,,17
12,p-p-4,71,"Chem. Eur. J.2014,20, 16858 – 16862",CO2Ethylene,Ni,CO2,ethylene,THF,80,10,5,NaO-3-F-C6H4,50,,,2,30,,,,20,,10
64,p-p-23,72,"Chem. Sci.,2017,8, 1463",CO2Ethylene,Ni,CO2,ethylene,THF,100,10,10,NaO-2-F-C6H4,50,Zn,50,1,10,,,,20,,6
65,p-p-24,73,"Chem. Sci.,2017,8, 1463",CO2Ethylene,Ni,CO2,ethylene,THF,100,10,10,NaO-2-F-C6H4,50,Zn,50,1,10,,,,20,,15
66,p-p-25,74,"Chem. Sci.,2017,8, 1463",CO2Ethylene,Ni,CO2,ethylene,THF,100,10,10,NaO-2-F-C6H4,50,Zn,50,1,10,,,,20,,11
67,p-p-26,75,"Chem. Sci.,2017,8, 1463",CO2Ethylene,Ni,CO2,ethylene,THF,100,10,10,NaO-2-F-C6H4,50,Zn,50,1,10,,,,20,,17
68,p-p-27,76,"Chem. Sci.,2017,8, 1463",CO2Ethylene,Ni,CO2,ethylene,THF,100,10,10,NaO-2-F-C6H4,50,Zn,50,1,10,,,,20,,4
69,p-p-28,77,"Chem. Sci.,2017,8, 1463",CO2Ethylene,Ni,CO2,ethylene,THF,100,10,10,NaO-2-F-C6H4,50,Zn,50,1,10,,,,20,,0
70,p-p-29,78,"Chem. Sci.,2017,8, 1463",CO2Ethylene,Ni,CO2,ethylene,THF,100,10,10,NaO-2-F-C6H4,50,Zn,50,1,10,,,,20,,19
12,p-p-4,79,"Chem. Sci.,2017,8, 1463",CO2Ethylene,Ni,CO2,ethylene,THF,100,10,10,NaO-2-F-C6H4,50,Zn,50,1,10,,,,20,,12
13,p-p-5,80,"Chem. Sci.,2017,8, 1463",CO2Ethylene,Ni,CO2,ethylene,THF,100,10,10,NaO-2-F-C6H4,50,Zn,50,1,10,,,,20,,7
