lig_node,rxn_node,common_neighbor,jaccard_coefficient,preferential_attachment,common_neighbor_cluster,number of lig in cluster,jaccard_coefficient_cluster,degree_lig_cluster,degree_rxn,preferential_attachment_cluster,SMILES,ligand_name
87,CO_nonalt-ethylene,7,0.318181818,57,17,2,8.5,58,3,174,O=S(C1=C([H])C=CC=C1P(C2=CC=CC=C2C3=C(OC)C=CC=C3OC)C(C)(C)C)(O)=O,p-o-13
92,CO_nonalt-ethylene,3,0.136363636,57,17,2,8.5,58,3,174,O=S(C1=CC=C(C)C=C1P(C2=CC=C(OC)C=C2)C3=CC=C(OC)C=C3)([O])=O,p-o-18
260,CO_nonalt-ethylene,2,0.090909091,57,17,2,8.5,58,3,174,OC1=C(C2=C(C)C=C(C)C=C2C)C=CC3=C1N4C(C=C3)=CN(C5=C(C(C)C)C=CC=C5C(C)C)C4,c-o-10
245,CO_nonalt-ethylene,0,0,57,17,2,8.5,58,3,174,O=P(N(C(C)C)C(C)C)(C1=CC=CC=C1)C2=CC=CC=C2P(C3=CC=CC=C3C4=C(OC)C=CC=C4OC)C5=CC=CC=C5,p-o-65
246,CO_nonalt-ethylene,8,0.380952381,38,17,2,8.5,58,3,174,O=S([N-]C1=CC=CC2=C1N3C(C=C2)=CN(C4=C(C(C)C)C=CC=C4C(C)C)C3)(C5=C(C)C=C(C)C=C5C)=O,c-n-8
252,CO_nonalt-ethylene,8,0.380952381,38,17,2,8.5,58,3,174,OS(C1=CC=CC=C1P(C(C)(C)C)C(C)(C)C)(=O)=O,p-o-67
339,CO_nonalt-ethylene,8,0.380952381,38,17,2,8.5,58,3,174,CC(C(C=CC=C1C(C)C)=C1/N=C(C2=C3C(C=C(OC)C=C34)=CC(OC)=C2)/C4=N/C5=C(C(C)C)C=CC=C5C(C)C)C,n-n-47
186,CO_nonalt-ethylene,8,0.380952381,38,17,2,8.5,58,3,174,O=S(C1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3)([O])=O,p-o-53
268,CO_nonalt-ethylene,8,0.380952381,38,17,2,8.5,58,3,174,O=P(C(C)(C)C)(C(C)(C)C)C1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3,p-o-77
84,CO_nonalt-ethylene,7,0.333333333,38,17,2,8.5,58,3,174,[O-]C(C(C(C)(C)C)=CC=C1)=C1P(C2=C(OC)C=CC=C2OC)C3=C(OC)C=CC=C3OC,p-o-10
243,CO_nonalt-ethylene,7,0.333333333,38,17,2,8.5,58,3,174,O=P(N(C(C)C)C(C)C)(C1=CC=CC=C1)C2=CC=CC=C2P(C3=CC=CC=C3)C4=CC=CC=C4,p-o-63
350,CO_nonalt-ethylene,5,0.238095238,38,17,2,8.5,58,3,174,OS(C1=CC=CC=C1P(C2=C(C3=CC(C=CC=C4)=C4O3)C=CC=C2)C5=CC=CC=C5)(=O)=O,p-o-129
312,CO_nonalt-ethylene,2,0.095238095,38,17,2,8.5,58,3,174,OS(C1=C(C2=CC=CC=C2)C=CC=C1P([C@@H]3C[C@H](C)CC[C@H]3C(C)C)[C@@H]4C[C@H](C)CC[C@H]4C(C)C)(=O)=O,p-o-121
410,CO_nonalt-ethylene,0,0,38,17,2,8.5,58,3,174,CC(P(C(C)C)C1=CC=CC=C1P(C(C)C)C(C)C)C,p-p-30
304,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,O=S(C1=CC=CC=C1P2N(C3=C(C)C=C(C)C=C3C)CCN2C4=C(C)C=C(C)C=C4C)(O)=O,p-o-116
