lig_node,rxn_node,common_neighbor,jaccard_coefficient,preferential_attachment,common_neighbor_cluster,number of lig in cluster,jaccard_coefficient_cluster,degree_lig_cluster,degree_rxn,preferential_attachment_cluster,SMILES,ligand_name
349,CO_alt-ethylene,0,0.0,6,0,2,0.0,58,1,58,OS(C1=CC=CC=C1P(C2=C(C3=CC=CO3)C=CC=C2)C4=CC=CC=C4)(=O)=O,p-o-128
406,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,C/C(OP(C(C)(C)C)C(C)(C)C)=N\C1=C(C(C)C)C=CC=C1C(C)C,p-n-33
111,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,[O]S(C1=CC=CC=C1P(C2=CC=CC=C2OC3=C(C)C=CC=C3C)C4=CC=CC=C4)(=O)=O,p-o-37
354,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,OC1=C(OCCOC)C=CC2=C1N3C(C=C2)=CN(C4=C(C(C)C)C=CC=C4C(C)C)C3,c-o-11
98,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,[*]C1=C(C2=CC=CC=C2)C=CC=C1,p-o-24
300,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=S(C1=CC=CC=C1P(C(C)C)C(C)C)(N(C)C)=O,p-o-112
96,CO_alt-ethylene,0,0.0,5,0,2,0.0,58,1,58,[*]C1=C(OC)C=C(OC)C=C1OC,p-o-22
472,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,[O-]C1=C2C(C=CC=C2)=CC=C1P(C3=CC=CC=C3)C4=CC=CC=C4C5=C(OC)C=CC=C5OC,p-o-169
136,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,[O]C(C(C(F)(F)F)=CC=C1)=C1P(C2=CC=CC=C2C3=C(OC)C=CC=C3OC)C4=CC=CC=C4,p-o-39
86,CO_alt-ethylene,0,0.0,3,0,2,0.0,58,1,58,O=S(C1=C(C2=C(F)C(F)=C(F)C(F)=C2F)C=CC=C1P(C3=CC=CC=C3C4=C(OC)C=CC=C4OC)C5=CC=CC=C5)(O)=O,p-o-12
38,CO_alt-ethylene,0,0.0,16,0,2,0.0,58,1,58,CC1=CC(C)=CC(C)=C1N(C2)CCN2CP(C3CCCCC3)C4CCCCC4,p-o-2
253,CO_alt-ethylene,0,0.0,2,0,2,0.0,58,1,58,OS(C1=CC=CC=C1P(C(CC)CC)C(CC)CC)(=O)=O,p-o-68
246,CO_alt-ethylene,0,0.0,2,0,2,0.0,58,1,58,O=S([N-]C1=CC=CC2=C1N3C(C=C2)=CN(C4=C(C(C)C)C=CC=C4C(C)C)C3)(C5=C(C)C=C(C)C=C5C)=O,c-n-8
296,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=S(C1=CC=CC=C1P(OC2=CC=C(OC)C=C2)OC3=CC=C(OC)C=C3)(N(C4CCCCC4)C5CCCCC5)=O,p-o-108
280,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=C(P(C4CCCCC4)C5CCCCC5)SC6=C3C=CC=C6,p-o-87
305,CO_alt-ethylene,0,0.0,7,0,2,0.0,58,1,58,O=S(C1=CC=CC=C1P2N(C3=C(C(C)C)C=C([H])C=C3C(C)C)CCN2C4=C(C(C)C)C=C([H])C=C4C(C)C)(O)=O,p-o-117
464,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)N(C3=CC=C(N(C)C)C=C3)P(C4=CC=CC=C4C5=C(OC)C=CC=C5OC)C6=CC=CC=C6,p-o-161
459,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)N(C3=CC=C(C(F)(F)F)C=C3)P(C4=CC=CC=C4OC)C5=C(OC)C=CC=C5,p-o-156
