Filename,Ni_atom label,Methyl_atom_1 label,Methyl_atom_2 label,Hydrogens_methyl_1_label,Hydrogens_methyl_2_label,Ligand_atom_1 label,Ligand_atom_2 label,Atoms_distance_2 label,Atoms_distance_3 label,Atoms_distance_4 label,Atoms_distance_2_a label,Atoms_distance_3_a label,Atoms_distance_4_a label,Atoms_distance_2_b label,Atoms_distance_3_b label,Atoms_distance_4_b label,Atom label shortest paths
ligand-056-p-c-21,69,74,70,"[77, 76, 75]","[73, 71, 72]",46,18,"[44, 47, 20, 21, 58]","[1, 2, 45, 48, 49, 17, 19, 22, 59, 60]","[3, 6, 8, 9, 23, 24, 28, 32, 33, 50, 51, 52, 53, 61, 62, 63, 64]","[44, 47, 58]","[2, 45, 48, 49, 59, 60]","[64, 1, 3, 8, 50, 51, 52, 53, 61, 62, 63]","[20, 21]","[1, 17, 19, 22]","[32, 33, 2, 6, 9, 23, 24, 28]","[69, 46, 44, 2, 1, 20, 18]"
ligand-072-n-n-3,1,6,2,"[9, 8, 7]","[5, 4, 3]",27,26,"[10, 11, 20, 13]","[12, 14, 15, 18, 23, 24]","[16, 17, 19, 21, 22, 25]","[13, 20]","[10, 18, 23, 24]","[12, 21, 22, 25]","[10, 11]","[12, 13, 14, 15]","[16, 17, 18, 19]","[1, 27, 13, 10, 26]"
ligand-073-n-o-1,44,49,45,"[52, 50, 51]","[48, 47, 46]",1,14,"[2, 6, 15]","[3, 4, 9, 16, 17]","[34, 5, 10, 12, 18, 19, 24]","[2, 15]","[3, 4, 16, 17]","[34, 5, 6, 18, 19, 24]",[6],"[9, 4]","[2, 5, 10, 12]","[44, 1, 2, 4, 6, 14]"
ligand-089-p-o-15,65,69,73,"[71, 70, 72]","[76, 74, 75]",1,2,"[40, 56, 3, 4]","[5, 39, 41, 51, 21, 55, 27]","[64, 66, 67, 38, 6, 10, 42, 16, 49, 52, 20, 54, 28, 29]","[4, 40, 56]","[3, 39, 41, 51, 55, 27]","[64, 66, 5, 38, 67, 42, 49, 52, 21, 54, 28, 29]",[3],"[21, 4, 5]","[6, 10, 16, 20, 27]","[65, 1, 4, 3, 2]"
ligand-100-p-o-26,3,8,4,"[10, 11, 9]","[5, 6, 7]",1,13,"[24, 2, 12, 37]","[33, 38, 42, 14, 15, 16, 45, 20, 25, 29]","[17, 18, 19, 21, 22, 23, 26, 27, 28, 30, 31, 32, 34, 35, 36, 39, 40, 41, 43, 44, 46, 47, 48, 49]","[2, 24, 37]","[33, 38, 42, 12, 45, 14, 15, 25, 29]","[16, 20, 26, 27, 28, 30, 31, 32, 34, 35, 36, 39, 40, 41, 43, 44, 46, 47, 48, 49]",[12],"[16, 2, 20]","[14, 15, 17, 18, 19, 21, 22, 23]","[3, 1, 2, 12, 13]"
ligand-106-p-o-32,29,39,35,"[40, 42, 41]","[37, 36, 38]",1,31,"[2, 3, 4, 5]","[6, 9, 12, 16, 21, 25]","[33, 34, 7, 8, 43, 11, 13, 15, 17, 22, 24, 30]","[2, 4, 5]","[3, 9, 12, 16, 21, 25]","[33, 34, 6, 8, 11, 13, 15, 17, 22, 24, 30]",[3],"[2, 6]","[7, 9, 43]","[29, 1, 2, 3, 31]"
ligand-120-p-n-3,23,28,24,"[31, 30, 29]","[27, 25, 26]",32,1,"[33, 2, 6, 44, 14]","[34, 35, 3, 4, 9, 45, 46, 15, 16]","[5, 10, 12, 17, 18, 22, 36, 37, 38, 39, 47, 48, 49, 50, 57]","[6, 33, 44]","[34, 35, 4, 9, 45, 46]","[2, 36, 37, 38, 39, 5, 10, 12, 47, 48, 49, 50]","[2, 14]","[3, 4, 15, 16]","[5, 6, 17, 18, 22, 57]","[23, 32, 6, 4, 2, 1]"
ligand-122-c-o-1,1,50,54,"[51, 52, 53]","[55, 56, 57]",2,58,"[29, 6, 7]","[3, 4, 8, 27, 31]","[32, 5, 9, 10, 21, 25, 30]","[6, 7]","[3, 4, 8, 27]","[5, 9, 10, 21, 25, 29]",[29],"[27, 31]","[32, 7, 25, 30]","[1, 2, 7, 27, 29, 58]"
ligand-131-p-n-4,12,13,17,"[15, 16, 14]","[18, 19, 20]",1,21,"[2, 3, 41, 22, 26, 30]","[32, 4, 7, 42, 43, 23, 24, 25, 27, 28, 29, 31]","[5, 6, 8, 11, 33, 34, 35, 36, 44, 45, 46, 47]","[2, 30, 41]","[32, 3, 7, 42, 43, 31]","[33, 35, 36, 4, 6, 34, 11, 44, 45, 46, 47]","[3, 22, 26]","[2, 4, 23, 24, 25, 27, 28, 29]","[5, 7, 8]","[12, 1, 2, 3, 21]"
ligand-183-n-o-34,12,17,13,"[20, 19, 18]","[15, 16, 14]",1,2,"[73, 3, 21]","[4, 5, 74, 43, 85, 26]","[6, 7, 75, 76, 44, 22, 86, 24, 87]","[3, 21]","[4, 5, 43, 26]","[6, 7, 73, 44, 22, 24]",[73],"[43, 85, 74]","[75, 44, 76, 21, 86, 87]","[12, 1, 21, 43, 73, 2]"
