Name,Metal,Atom_A,Atom_B,A-M-B Angle,M-A Distance,M-B Distance,Metal_NBO,A_NBO,B_NBO,HOMO_LUMO,A-B_NBO,NBO-dist-2-avg,NBO-dist-3-avg,NBO-dist-4-avg,NBO-dist-2-a-avg,NBO-dist-3-a-avg,NBO-dist-4-a-avg,NBO-dist-2-b-avg,NBO-dist-3-b-avg,NBO-dist-4-b-avg,NBO-dist-2-a-b-diff,NBO-dist-3-a-b-diff,NBO-dist-4-a-b-diff,NBO-dist-2-min,NBO-dist-3-min,NBO-dist-4-min,NBO-dist-2-max,NBO-dist-3-max,NBO-dist-4-max,NBO-dist-2-a-min,NBO-dist-3-a-min,NBO-dist-4-a-min,NBO-dist-2-b-min,NBO-dist-3-b-min,NBO-dist-4-b-min,NBO-dist-2-a-max,NBO-dist-3-a-max,NBO-dist-4-a-max,NBO-dist-2-b-max,NBO-dist-3-b-max,NBO-dist-4-b-max,NBO-metal-donor-diff,NBO-metal-a-diff,NBO-metal-b-diff,NBO-dist-2-1-avg-diff,NBO-dist-3-2-avg-diff,NBO-dist-4-3-avg-diff,NBO-dist-2-1-a-avg-diff,NBO-dist-3-2-a-avg-diff,NBO-dist-4-3-a-avg-diff,NBO-dist-2-1-b-avg-diff,NBO-dist-3-2-b-avg-diff,NBO-dist-4-3-b-avg-diff,Metal_mullkien,A_mulliken,B_mulliken,A-B_mulliken,Mulliken-dist-2-avg,Mulliken-dist-3-avg,Mulliken-dist-4-avg,Total internal angle deviation %,Total % VBur,% VBur SE,% VBur SW,% VBur NE,% VBur NW,% VBur max,% VBur min,% VBur max min diff,% VBur NE NW diff,% VBur SE SW diff,% VBur NE SE diff,% VBur NW SW diff,% VBur NE SW diff,% VBur NW SE diff,% VBur asymm 1,% VBur asymm 2,% VBur asymm 3,% VBur octant 1,% VBur octant 2,% VBur octant 3,% VBur octant 4,% VBur octant 5,% VBur octant 6,% VBur octant 7,% VBur octant 8
ligand-248-c-o-4,1,2,55,88.12385,1.961,2.045,0.15871,0.28347,-1.05075,0.0966,1.3342,0.4122,-0.1261,-0.3396,-0.3912,-0.003,0.3156,2.0191,-0.3016,-0.5289,2.4103,0.2986,0.8445,-0.39447,-0.38184,-0.60888,2.01907,0.13541,0.23171,-0.39447,-0.15994,-0.22726,2.01907,-0.38184,-0.60888,-0.38799,0.13541,2.01907,2.01907,-0.15994,-0.22726,0.54231,0.12476000000000001,1.20946,0.7958000000000001,0.5383,0.21350000000000002,0.67467,0.3882,0.3186,3.0698499999999997,2.3207,0.22730000000000006,-0.184631,-0.00239,-0.390861,0.388471,0.2027,0.0283,-0.2324,4.1603,55.82254006708908,68.23052553112188,43.97828922847558,51.812336936265375,59.269008572493476,68.23052553112188,43.97828922847558,24.252236302646303,55.54067275437943,56.10440737979873,60.02143123369363,51.623648900484525,47.89531308237048,63.74976705180768,0.5637346254193005,8.397782333209108,15.854453969437202,99.56205739843459,70.11274692508385,97.2325754752143,88.69269474468878,14.931979127841968,21.305441669772645,17.843831531867313,36.89899366380917
ligand-250-c-o-6,1,2,48,84.73742,1.965,2.138,0.21488,0.2818,-1.05493,0.1543,1.3367,0.34,-0.1651,-0.3119,-0.5979,0.5474,-0.0508,2.2156,-0.521,-0.5307,2.8135,1.0684,0.4799,-0.76354,-0.40169,-0.60528,2.21564,0.12804,0.23209,-0.76354,-0.10066,-0.40169,2.21564,-0.76354,-0.60528,-0.43218,2.21564,0.23209,2.21564,-0.39791,-0.10066,0.60148,0.06692000000000001,1.2698099999999999,0.7266,0.5051,0.1468,0.8796999999999999,1.1453,0.5982,3.27053,2.7365999999999997,0.009699999999999931,0.151599,-0.074098,-0.409136,0.335038,0.1902,-0.0205,-0.2064,0.5707,47.88424804323518,53.755124860231085,47.330413715989565,58.93123369362654,31.520219903093555,58.93123369362654,31.520219903093555,27.411013790532984,45.22572679836004,50.54276928811032,56.34317927692881,39.425316809541556,53.13082370480805,42.63767238166232,5.317042489750278,16.917862467387252,10.493151323145732,93.57062989191203,91.06876630637346,61.11162877376072,91.72102124487515,26.141446142377934,1.9288110324263883,3.592061125605665,13.939619828550132
ligand-259-c-o-9,1,2,41,89.21762,1.932,1.979,0.19964,0.27285,-0.63187,0.1166,0.9047,-0.1203,-0.0166,-0.0106,-0.3723,0.0515,0.0514,0.3836,-0.1145,-0.1073,0.7559,0.166,0.1587,-0.39894,-0.28875,-0.22915,0.38365,0.16153,0.20768,-0.39894,-0.09466,-0.22915,0.38365,-0.28875,-0.34562,-0.34562,0.16153,0.38365,0.38365,0.05972,0.20026,0.37914000000000003,0.07320999999999997,0.8315100000000001,0.05919999999999999,0.1037,0.006,0.64515,0.4238,9.999999999999593e-05,1.01547,0.4981,0.007199999999999998,0.303569,-0.027559,-0.548887,0.521328,0.0619,-0.0567,-0.0002,0.6819,41.55446328736489,66.98425270219903,26.12281028699217,33.271990309355196,39.83879985091316,66.98425270219903,26.12281028699217,40.86144241520686,36.555395080134176,46.5535314945956,50.128121505777116,32.98080506895266,29.697400298173683,53.411526276556096,9.998136414461428,17.147316436824454,23.714125978382413,97.13473723443906,49.138091688408494,75.34010436079016,62.383525903838986,4.160454714871412,4.337495341036154,3.107528885575848,36.833768169959
ligand-283-p-o-90,13,1,4,93.34435,2.255,2.078,0.10778,1.04787,-1.04658,0.1327,2.0945,0.3722,-0.3835,-0.0112,-0.3197,-0.2414,0.2017,2.4478,-0.6956,-0.1413,2.7675,0.4542,0.343,-0.34204,-0.8166,-0.20221,2.44785,-0.18458,0.23593,-0.34204,-0.46757,-0.20221,2.44785,-0.8166,-0.28037,-0.28037,-0.18458,2.44785,2.44785,-0.46757,-0.05697,0.10718,0.9400900000000001,1.15436,0.3716,0.7557,0.3723,1.3675700000000002,0.07829999999999998,0.4431,3.49438,3.1433999999999997,0.5543,0.162482,0.311112,-0.421731,0.732843,0.1584,-0.1951,0.007,4.7229,45.85818114051435,50.288855758479315,57.589452105851656,29.0090383898621,46.54537830786433,57.589452105851656,29.0090383898621,28.580413715989557,37.77720834886321,53.93915393216548,39.64894707417071,52.067415206857994,43.299245247856874,48.41711703317182,16.16194558330227,12.418468132687288,5.1178717853149465,93.42154304882594,97.14405516213193,79.75214312336936,55.819045844204254,2.19903093551994,13.3386134923593,18.034849049571374,7.156168468132687
ligand-321-n-n-34,1,5,4,79.01365,2.0,2.0,0.3189,-0.39959,-0.39956,0.1122,0.0,0.2077,-0.2447,-0.1309,0.2077,-0.1137,-0.1991,0.2077,-0.1137,-0.1991,0.0,0.0,0.0,0.1363,-0.67662,-0.61614,0.27916,-0.02634,0.24473,0.13631,-0.67662,-0.67662,0.1363,-0.67662,-0.67662,0.27916,0.27914,0.24472,0.27914,0.27916,0.24473,0.7185,0.7184900000000001,0.7184600000000001,0.6073,0.4524,0.11380000000000001,0.60729,0.3214,0.0854,0.60726,0.3214,0.0854,0.298481,-0.204538,-0.204403,0.00013499999999999623,0.1095,-0.1544,-0.0278,0.0402,47.38981550503168,40.50503168095416,54.25829295564667,54.28857622064853,40.50736116287737,54.28857622064853,40.50503168095416,13.783544539694368,47.397968691762955,47.381662318300414,47.39680395080134,47.38282705926202,54.273434588147595,40.50619642191577,0.016306373462541046,0.013976891539321912,13.767238166231827,75.06988445769662,93.29575102497205,75.09783824077525,93.27245620573984,15.304696235557211,5.9168840849795,15.220834886321283,5.940178904211703
ligand-337-n-n-45,1,4,5,80.25544,2.079,2.048,0.2901,-0.41739,-0.42487,0.0964,0.0075,0.2058,-0.0539,-0.1722,0.2019,0.0317,-0.1512,0.2096,0.0285,-0.1519,0.0077,0.0032,0.0007,0.12893,-0.14279,-0.22919,0.28905,-0.00978,0.05699,0.12893,-0.14279,-0.22919,0.13021,-0.14096,-0.22821,0.27483,0.28905,0.05699,0.28905,0.27483,0.05699,0.7112,0.70749,0.7149700000000001,0.6269,0.25970000000000004,0.11829999999999999,0.61929,0.1702,0.1829,0.6344700000000001,0.1811,0.1804,-0.177366,0.058271,0.088368,0.030097,-0.091,-0.0474,-0.0082,0.001,60.56070629891912,61.14657100260902,59.494968319045846,60.02609019754007,61.575195676481556,61.575195676481556,59.494968319045846,2.08022735743571,60.800642937010814,60.32076966082744,60.58633060007455,60.5350819977637,59.76052925829296,61.36088333954529,0.47987327618337616,0.05124860231084938,1.600354081252327,94.69809914275065,92.05180767797242,94.26481550503169,94.26481550503169,25.787364890048455,28.88557584793142,26.93812896011927,27.595042862467388
ligand-376-c-o-12,1,2,41,88.90594,1.947,2.08,0.18721,0.27643,-0.92083,0.1092,1.1973,0.5514,-0.3088,-0.0491,-0.3809,0.0191,0.3618,2.4162,-0.6611,-0.3238,2.7971,0.6802,0.6856,-0.38627,-0.97984,-0.27207,2.41618,0.15278,0.21206,-0.38627,-0.10664,-0.27207,2.41618,-0.97984,-0.37562,-0.37562,0.15278,2.41618,2.41618,-0.05387,-0.27207,0.5094099999999999,0.08922000000000002,1.10804,0.8735999999999999,0.8602000000000001,0.25970000000000004,0.65733,0.4,0.3427,3.33703,3.0773,0.33730000000000004,0.286553,-0.051532,-0.458808,0.40727599999999997,0.2564,-0.1716,-0.0426,6.1659,46.57391446142378,30.05730525531122,68.5450055907566,49.6668840849795,38.02646291464779,68.5450055907566,30.05730525531122,38.48770033544538,43.84667349981365,49.30115542303391,39.86209467014536,53.2857342527022,59.10594483786805,34.0418840849795,5.454481923220264,13.423639582556838,25.06406075288855,54.472605292582934,97.8988073052553,73.01994036526277,93.97595974655236,5.357808423406634,3.0329854640327993,39.191203876257916,5.6420052180395075
ligand-384-p-n-20,2,1,11,85.2558,2.278,2.078,0.11397,1.10331,-0.48123,0.1539,1.5845,-0.131,-0.3553,0.081,-0.4209,-0.3454,0.132,0.3038,-0.242,-0.1535,0.7247,0.1034,0.2855,-0.62885,-0.6048,-0.39247,0.46117,0.2585,0.2413,-0.62885,-0.6048,-0.39247,0.14645,-0.62885,-0.38811,-0.31166,0.46117,0.23616,0.46117,-0.00295,0.2585,0.19702999999999998,0.98934,0.5952,0.442,0.2243,0.4363,1.52421,0.07550000000000001,0.4774,0.78503,0.5458000000000001,0.0885,-0.270659,0.35753,-0.069538,0.427068,0.0344,-0.2047,0.0555,1.1682,54.5721906448006,48.23192322027581,58.747204621692134,56.01705180767797,55.29258292955647,58.747204621692134,48.23192322027581,10.515281401416324,55.654817368617216,53.48956392098397,52.12448751397689,57.0198937756243,57.38212821468505,51.76225307491614,2.1652534476332477,4.895406261647409,5.619875139768915,86.04174431606411,90.56093924711143,92.60622437569884,98.53708535221767,13.497018263138278,17.978941483414086,26.93346999627283,10.422102124487514
ligand-390-p-n-26,34,1,13,84.33537,2.309,2.086,0.07027,1.02869,-0.4458,0.13,1.4745,-0.1824,-0.0072,-0.2274,-0.473,0.109,-0.3963,0.2534,-0.3278,0.1212,0.7264,0.4368,0.5175,-0.72917,-0.24834,-0.6305,0.26098,0.2575,0.22002,-0.72917,-0.00398,-0.6305,0.24578,-0.72917,-0.13919,-0.34026,0.2575,-0.20736,0.26098,-0.09097,0.2575,0.22113,0.95842,0.51607,0.4738,0.1752,0.22019999999999998,1.50169,0.582,0.5053,0.6992,0.5811999999999999,0.44899999999999995,-0.365162,0.350436,-0.192219,0.542655,-0.1069,0.0582,-0.1134,2.4563,56.82538203503541,66.91436824450243,38.59718598583675,50.33777487886694,71.45219903093552,71.45219903093552,38.59718598583675,32.855013045098765,60.89498695490123,52.75577711516959,58.62607156168468,55.02469250838614,44.46748043235185,69.18328363771897,8.139209839731635,3.601379053298544,24.715803205367123,99.8509131569139,63.85109951546776,97.55870294446515,82.79444651509505,17.881103242638837,45.34569511740589,13.34327245620574,33.97782333209094
ligand-395-p-n-28,12,1,26,97.85319,2.283,2.07,0.09853,1.0506,-1.0614,0.1314,2.112,0.1601,-0.2903,0.0006,-0.4242,-0.3243,0.2659,1.0367,-0.2596,-0.2818,1.4609,0.0647,0.5477,-0.49794,-0.60306,-0.61146,1.89979,0.22224,0.22843,-0.49794,-0.60306,-0.18996,0.17361,-0.42268,-0.61146,-0.28637,0.22224,1.89979,1.89979,-0.02123,-0.15878,0.10393000000000001,0.95207,1.15993,0.16549999999999998,0.4504,0.2909,1.4748,0.09990000000000004,0.5902000000000001,2.0980999999999996,1.2963,0.022199999999999998,-0.389858,0.416401,-0.094565,0.510966,0.1425,-0.1557,-0.0129,5.6786,58.38904677599702,61.34457696608274,58.76816995900112,49.46887812150578,63.97456205739843,63.97456205739843,49.46887812150578,14.505683935892648,56.721720089452106,60.05637346254193,55.40672754379426,61.37136600819977,54.11852404025345,62.659569511740585,3.3346533730898216,5.96463846440551,8.541045471487138,99.42694744688781,97.26052925829296,99.30581438688036,91.14796869176296,7.789787551248602,28.64330972791651,20.275810659709283,23.262206485277677
