Filename,Pd_atom label,Methyl_atom_1 label,Methyl_atom_2 label,Hydrogens_methyl_1_label,Hydrogens_methyl_2_label,Ligand_atom_1 label,Ligand_atom_2 label,Atoms_distance_2 label,Atoms_distance_3 label,Atoms_distance_4 label,Atoms_distance_2_a label,Atoms_distance_3_a label,Atoms_distance_4_a label,Atoms_distance_2_b label,Atoms_distance_3_b label,Atoms_distance_4_b label,Atom label shortest paths
ligand-011-c-n-7,1,6,10,"[7, 9, 8]","[11, 12, 13]",2,22,"[16, 35, 4, 14]","[3, 5, 15, 19, 20, 27, 31]","[32, 36, 17, 18, 21, 23, 24, 25, 28]","[4, 35]","[3, 5, 27, 31]","[32, 36, 14, 23, 24, 25, 28]","[14, 16]","[5, 15, 19, 20]","[4, 17, 18, 21, 24, 25]","[1, 2, 4, 5, 14, 22]"
ligand-013-p-p-5,3,8,4,"[11, 10, 9]","[5, 7, 6]",1,12,"[2, 38, 72, 17, 21, 55]","[13, 14, 15, 18, 19, 22, 23, 24, 39, 40, 41, 56, 57, 58, 73, 74, 75]","[16, 20, 25, 26, 27, 28, 29, 30, 42, 43, 44, 45, 46, 47, 59, 60, 61, 62, 63, 64, 76, 77, 78, 79, 80, 81]","[17, 55, 72]","[73, 74, 75, 15, 18, 19, 56, 57, 58]","[2, 16, 20, 59, 60, 61, 62, 63, 64, 76, 77, 78, 79, 80, 81]","[2, 21, 38]","[39, 40, 41, 13, 14, 15, 22, 23, 24]","[16, 17, 20, 25, 26, 27, 28, 29, 30, 42, 43, 44, 45, 46, 47]","[3, 1, 17, 15, 2, 12]"
ligand-014-p-c-1,2,6,3,"[8, 9, 7]","[5, 4, 74]",1,47,"[10, 13, 52, 53, 30]","[32, 33, 11, 12, 14, 15, 16, 50, 48, 54, 31]","[17, 18, 19, 20, 21, 22, 34, 35, 36, 37, 38, 39, 49, 51, 55, 56]","[10, 13, 30]","[32, 33, 11, 12, 14, 15, 16, 52, 31]","[17, 18, 19, 20, 21, 22, 34, 35, 36, 37, 38, 39, 50]","[52, 53]","[10, 48, 50, 54]","[11, 12, 49, 51, 55, 56]","[2, 1, 10, 52, 47]"
ligand-015-p-c-2,2,6,3,"[9, 8, 7]","[5, 4, 76]",1,47,"[10, 13, 52, 53, 30]","[32, 33, 11, 12, 14, 15, 16, 50, 48, 54, 31]","[17, 18, 19, 20, 21, 22, 34, 35, 36, 37, 38, 39, 49, 51, 55, 56, 74, 75]","[10, 13, 30]","[32, 33, 11, 12, 14, 15, 16, 52, 31]","[17, 18, 19, 20, 21, 22, 34, 35, 36, 37, 38, 39, 50]","[52, 53]","[10, 48, 50, 54]","[74, 11, 12, 75, 49, 51, 55, 56]","[2, 1, 10, 52, 47]"
ligand-016-p-c-3,2,6,3,"[9, 8, 7]","[5, 4, 80]",1,47,"[10, 13, 48, 49, 30]","[32, 33, 70, 71, 11, 12, 14, 15, 16, 50, 31]","[17, 18, 19, 20, 21, 22, 34, 35, 36, 37, 38, 39, 51, 52, 72, 73]","[10, 13, 30]","[32, 33, 11, 12, 14, 15, 48, 16, 31]","[17, 18, 19, 20, 21, 22, 34, 35, 36, 37, 38, 39, 70]","[48, 49]","[70, 71, 10, 50]","[72, 73, 11, 12, 51, 52]","[2, 1, 10, 48, 47]"
ligand-017-p-c-4,2,6,3,"[9, 8, 7]","[5, 4, 80]",1,47,"[10, 13, 50, 51, 30]","[32, 33, 11, 12, 14, 15, 16, 49, 48, 52, 31]","[17, 18, 19, 20, 21, 22, 34, 35, 36, 37, 38, 39, 53, 54, 72, 76]","[10, 13, 30]","[32, 33, 11, 12, 14, 15, 16, 50, 31]","[17, 18, 19, 20, 21, 22, 34, 35, 36, 37, 38, 39, 49]","[50, 51]","[10, 48, 49, 52]","[72, 11, 12, 76, 53, 54]","[2, 1, 10, 50, 47]"
ligand-018-p-c-5,2,3,7,"[4, 5, 6]","[9, 10, 8]",11,55,"[1, 37, 20, 59, 60]","[38, 39, 40, 12, 13, 14, 16, 21, 22, 23, 54, 61, 57]","[15, 17, 18, 19, 24, 25, 26, 27, 28, 29, 41, 42, 43, 44, 45, 46, 56, 58, 62, 63]","[1, 20, 37]","[38, 39, 40, 12, 13, 14, 21, 22, 23]","[15, 16, 19, 24, 25, 26, 27, 28, 29, 41, 42, 43, 44, 45, 46]","[59, 60]","[16, 54, 57, 61]","[14, 17, 18, 56, 58, 62, 63]","[2, 11, 1, 14, 16, 59, 55]"
ligand-019-p-c-6,2,7,3,"[9, 10, 8]","[4, 5, 6]",11,55,"[1, 37, 20, 59, 60]","[38, 39, 40, 12, 13, 14, 16, 21, 22, 23, 54, 61, 57]","[15, 17, 18, 19, 24, 25, 26, 27, 28, 29, 41, 42, 43, 44, 45, 46, 56, 58, 62, 63, 64]","[1, 20, 37]","[38, 39, 40, 12, 13, 14, 21, 22, 23]","[15, 16, 19, 24, 25, 26, 27, 28, 29, 41, 42, 43, 44, 45, 46]","[59, 60]","[16, 54, 57, 61]","[64, 14, 17, 18, 56, 58, 62, 63]","[2, 11, 1, 14, 16, 59, 55]"
ligand-020-p-c-7,2,7,3,"[9, 8, 10]","[4, 6, 5]",11,55,"[1, 37, 20, 59, 60]","[38, 39, 40, 12, 13, 14, 16, 21, 22, 23, 54, 61, 57]","[15, 17, 18, 19, 24, 25, 26, 27, 28, 29, 41, 42, 43, 44, 45, 46, 56, 58, 62, 63, 64]","[1, 20, 37]","[38, 39, 40, 12, 13, 14, 21, 22, 23]","[15, 16, 19, 24, 25, 26, 27, 28, 29, 41, 42, 43, 44, 45, 46]","[59, 60]","[16, 54, 57, 61]","[64, 14, 17, 18, 56, 58, 62, 63]","[2, 11, 1, 14, 16, 59, 55]"
ligand-021-p-c-8,2,7,3,"[9, 10, 8]","[4, 6, 5]",11,55,"[1, 37, 20, 59, 60]","[38, 39, 40, 12, 13, 14, 16, 21, 22, 23, 54, 61, 57]","[15, 17, 18, 19, 24, 25, 26, 27, 28, 29, 41, 42, 43, 44, 45, 46, 56, 58, 62, 63, 64]","[1, 20, 37]","[38, 39, 40, 12, 13, 14, 21, 22, 23]","[15, 16, 19, 24, 25, 26, 27, 28, 29, 41, 42, 43, 44, 45, 46]","[59, 60]","[16, 54, 57, 61]","[64, 14, 17, 18, 56, 58, 62, 63]","[2, 11, 1, 14, 16, 59, 55]"
ligand-022-p-c-9,2,7,3,"[9, 10, 8]","[4, 6, 5]",11,55,"[1, 37, 20, 59, 60]","[38, 39, 40, 12, 13, 14, 16, 21, 22, 23, 54, 61, 57]","[15, 17, 18, 19, 24, 25, 26, 27, 28, 29, 41, 42, 43, 44, 45, 46, 56, 58, 62, 63, 64]","[1, 20, 37]","[38, 39, 40, 12, 13, 14, 21, 22, 23]","[15, 16, 19, 24, 25, 26, 27, 28, 29, 41, 42, 43, 44, 45, 46]","[59, 60]","[16, 54, 57, 61]","[64, 14, 17, 18, 56, 58, 62, 63]","[2, 11, 1, 14, 16, 59, 55]"
ligand-027-p-p-6,2,3,7,"[6, 5, 4]","[10, 8, 9]",16,17,"[1, 13, 18, 19, 20, 21]","[11, 12, 14, 15, 22, 26, 30, 34, 38, 42, 46, 50, 54, 58, 62, 66]","[23, 24, 25, 27, 28, 29, 31, 32, 33, 35, 36, 37, 39, 40, 41, 43, 44, 45, 47, 48, 49, 51, 52, 53, 55, 56, 57, 59, 60, 61, 63, 64, 65, 67, 68, 69]","[1, 20, 21]","[34, 38, 42, 11, 12, 13, 22, 26, 30]","[14, 15, 23, 24, 25, 27, 28, 29, 31, 32, 33, 35, 36, 37, 39, 40, 41, 43, 44, 45]","[13, 18, 19]","[1, 66, 14, 15, 46, 50, 54, 58, 62]","[11, 12, 47, 48, 49, 51, 52, 53, 55, 56, 57, 59, 60, 61, 63, 64, 65, 67, 68, 69]","[2, 16, 1, 13, 17]"
ligand-029-p-p-8,1,2,6,"[5, 4, 3]","[9, 7, 8]",22,32,"[34, 10, 12, 47, 17, 23]","[11, 13, 14, 20, 21, 24, 25, 26, 27, 33, 35, 39, 43, 48, 52, 56]","[15, 16, 18, 19, 28, 29, 30, 31, 36, 37, 38, 40, 41, 42, 44, 45, 46, 49, 50, 51, 53, 54, 55, 57, 58, 59]","[12, 17, 34]","[33, 35, 39, 10, 43, 13, 14, 20, 21]","[11, 15, 16, 18, 19, 24, 36, 37, 38, 40, 41, 42, 44, 45, 46]","[10, 23, 47]","[56, 11, 12, 48, 52, 24, 25, 26, 27]","[13, 28, 29, 30, 31, 33, 49, 50, 51, 53, 54, 55, 57, 58, 59]","[1, 22, 12, 10, 32]"
ligand-030-p-p-9,1,2,6,"[5, 3, 4]","[9, 8, 7]",11,10,"[38, 39, 12, 13, 52, 56]","[34, 58, 14, 50, 51, 18, 53, 22, 54, 55, 57, 26, 59, 30]","[15, 16, 17, 19, 20, 21, 23, 24, 25, 27, 28, 29, 31, 32, 33, 35, 36, 37, 40, 41]","[12, 38, 56]","[34, 58, 39, 50, 57, 26, 59, 30]","[32, 33, 35, 36, 37, 40, 27, 51, 28, 29, 31]","[13, 39, 52]","[38, 14, 18, 51, 53, 22, 54, 55]","[41, 15, 16, 17, 50, 19, 20, 21, 23, 25, 24]","[1, 11, 38, 39, 10]"
